CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU15041_1475;11;47.93267;-65.249;417256;3.27;19-oct-15;06:41:00;28.89;10.63;277.20462;8.186;NaN;1.21;0.149;0.08;1;1.035;1;0.38;1;3.64;1;0;2.72;0.28
18HU15041_1475;11;47.93267;-65.249;417255;5.75;19-oct-15;06:41:00;28.91;10.6;277.02598;8.182;6.323;1.58;0.139;0.08;1;1.09;1;0.39;1;3.68;1;256;2.79;0.30
18HU15041_1475;11;47.93267;-65.249;417254;15.67;19-oct-15;06:41:00;28.93;10.58;277.1153;8.182;NaN;1.075;0.135;0.08;1;1.08;1;0.4;1;3.695;1;0;2.70;0.29
18HU15041_1475;11;47.93267;-65.249;417253;25.68;19-oct-15;06:41:00;29.81;9.2;283.54634;8.174;NaN;0.405;0.063;0.09;1;1.195;1;0.53;1;1.92;1;0;2.25;0.62
18HU15041_1475;11;47.93267;-65.249;417252;49.57;19-oct-15;06:41:00;30.42;5.7;233.75044;7.923;5.33;0.195;0.042;0.135;1;7.52;1;1.035;1;13.26;1;256;7.27;0.57
18HU15041_1475;11;47.93267;-65.249;417251;66.53;19-oct-15;06:41:00;31.6;1.99;218.96798;7.844;NaN;0.155;0.043;0.145;1;13.16;1;1.475;1;25.965;1;0;8.92;0.51
18HU15041_1486;31;47.832;-64.25033;417266;2.18;19-oct-15;14:12:00;29.59;9.35;288.19098;8.2;NaN;0.62;0.074;0.095;1;0.865;1;0.46;1;1.46;1;0;1.88;0.59
18HU15041_1486;31;47.832;-64.25033;417265;4.26;19-oct-15;14:12:00;29.59;9.36;288.19098;8.198;6.5625;0.715;0.076;0.095;1;0.875;1;0.455;1;1.48;1;256;1.92;0.59
18HU15041_1486;31;47.832;-64.25033;417264;15.77;19-oct-15;14:12:00;29.59;9.37;287.92302;8.199;NaN;0.625;0.082;0.095;1;0.88;1;0.465;1;1.485;1;0;1.89;0.59
18HU15041_1486;31;47.832;-64.25033;417263;25.78;19-oct-15;14:12:00;29.61;9.4;287.20846;8.196;NaN;0.585;0.076;0.095;1;0.895;1;0.46;1;1.535;1;0;1.95;0.58
18HU15041_1486;31;47.832;-64.25033;417262;38.57;19-oct-15;14:12:00;29.71;9.49;283.72498;8.191;6.504;0.505;0.072;0.105;1;1.07;1;0.48;1;1.685;1;256;2.23;0.64
18HU15041_1487;41;47.77817;-64.02233;417272;2.28;19-oct-15;18:13:00;29.85;9.84;288.81622;8.213;NaN;1.55;0.148;0.05;1;0.68;1;0.365;1;1.895;1;0;1.86;0.36
18HU15041_1487;41;47.77817;-64.02233;417271;5.35;19-oct-15;18:13:00;29.85;9.85;288.77156;8.212;6.6035;1.605;0.146;0.055;1;0.685;1;0.36;1;1.875;1;256;1.90;0.37
18HU15041_1487;41;47.77817;-64.02233;417270;15.17;19-oct-15;18:13:00;29.85;9.84;288.63758;8.212;NaN;1.49;0.149;0.055;1;0.695;1;0.365;1;1.895;1;0;1.90;0.37
18HU15041_1487;41;47.77817;-64.02233;417269;24.99;19-oct-15;18:13:00;30.25;9.35;282.11722;8.187;NaN;0.475;0.086;0.085;1;1.305;1;0.455;1;2.43;1;0;2.87;0.54
18HU15041_1487;41;47.77817;-64.02233;417268;50.37;19-oct-15;18:13:00;31.39;3.68;275.5522;8.001;6.2435;0.105;0.037;0.13;1;8.065;1;1.07;1;9.96;1;256;7.54;0.81
18HU15041_1487;41;47.77817;-64.02233;417267;79.41;19-oct-15;18:13:00;32.16;1.04;264.34254;7.92;5.974;0.12;0.037;0.095;1;11.62;1;1.355;1;17.68;1;256;8.58;0.66
18HU15041_1488;51;47.66667;-63.7495;417277;2.28;19-oct-15;20:24:00;29.71;9.99;289.57544;8.217;NaN;1.775;0.155;0.05;1;0.635;1;0.35;1;1.995;1;0;1.81;0.32
18HU15041_1488;51;47.66667;-63.7495;417276;4.96;19-oct-15;20:24:00;29.75;9.99;289.03952;8.217;6.5885;1.67;0.146;0.045;1;0.6;1;0.345;1;1.96;1;256;1.74;0.31
18HU15041_1488;51;47.66667;-63.7495;417275;15.17;19-oct-15;20:24:00;29.83;9.98;288.32496;8.217;NaN;1.47;0.136;0.035;1;0.47;1;0.34;1;1.825;1;0;1.38;0.26
