CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU18008_284;STN27;47.5527;-52.58474;446752;6.01;28-apr-18;17:43:00;6.01;31.8996;0.9509;8.612;8.222;4.90466;1;31.905;1;9;1;0;1;NaN;9;0;1;NaN;9;0.374;1;NaN;9;0.035;1;NaN;9;0;0.00;0.00
18HU18008_284;STN27;47.55254;-52.58476;446751;10.66;28-apr-18;17:42:00;10.669;31.8997;0.9397;8.5999;8.212;4.46543;1;31.903;1;9;1;0;1;NaN;9;0;1;NaN;9;0.3705;1;NaN;9;0;1;NaN;9;0;0.00;NaN
18HU18008_284;STN27;47.55242;-52.58483;446750;20.14;28-apr-18;17:41:00;20.148;31.8996;0.8817;8.6106;8.203;5.12427;1;31.899;1;9;1;0;1;NaN;9;0;1;NaN;9;0.3425;1;NaN;9;0;1;NaN;9;0;0.00;NaN
18HU18008_284;STN27;47.55232;-52.58486;446749;29.63;28-apr-18;17:40:00;29.638;31.9185;0.4276;8.5171;8.181;5.85631;1;31.925;1;8.9;1;0;1;NaN;9;0;1;NaN;9;0.323;1;NaN;9;0.1;1;NaN;9;0;0.00;0.00
18HU18008_284;STN27;47.55222;-52.58492;446748;39.6;28-apr-18;17:39:00;39.605;31.9868;-0.461;8.4412;8.165;7.02757;1;31.973;1;8.8;1;0;1;NaN;9;0.17088;1;NaN;9;0.4205;1;NaN;9;0.38;1;NaN;9;0;0.41;0.45
18HU18008_284;STN27;47.55206;-52.5848;446746;49.22;28-apr-18;17:37:00;49.225;32.0841;-0.7801;8.3601;8.156;NaN;9;32.071;1;8.7;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18008_284;STN27;47.55208;-52.58482;446747;49.24;28-apr-18;17:37:00;49.243;32.0829;-0.7761;8.3558;8.156;NaN;9;32.08;1;8.7;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18008_284;STN27;47.55204;-52.58478;446744;49.25;28-apr-18;17:37:00;49.251;32.0852;-0.7817;8.3561;8.157;NaN;9;32.087;1;8.7335;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
