CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;FLOR;CHL_04;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU18028_1684;11;47.83117;-64.25133;454714;3.17;23-oct-18;07:43:00;29.35;7.3;301.32102;8.169;NaN;1.028;2.405;1;0.095;1;1.5;1;0.46;1;3.67;1;0;3.26;0.41
18HU18028_1684;11;47.83117;-64.25133;454713;6.05;23-oct-18;07:43:00;29.35;7.31;300.91908;8.167;6.833;1.074;2.37;1;0.1;1;1.515;1;0.455;1;3.645;1;256;3.33;0.42
18HU18028_1684;11;47.83117;-64.25133;454712;15.96;23-oct-18;07:43:00;29.35;7.31;301.09772;8.162;NaN;1.086;2.305;1;0.095;1;1.52;1;0.445;1;3.675;1;0;3.42;0.41
18HU18028_1684;11;47.83117;-64.25133;454711;26.08;23-oct-18;07:43:00;29.35;7.31;300.87442;8.161;NaN;1.077;2.465;1;0.1;1;1.545;1;0.49;1;3.675;1;0;3.15;0.42
18HU18028_1684;11;47.83117;-64.25133;454710;35.2;23-oct-18;07:43:00;29.41;7.34;299.26666;8.156;6.8205;0.967;2.225;1;0.1;1;1.54;1;0.49;1;3.705;1;256;3.14;0.42
18HU18028_1692;21;47.78717;-64.02883;454720;3.57;23-oct-18;09:37:00;29.73;5.72;316.46076;8.179;NaN;0.851;2.28;1;0.13;1;2.11;1;0.54;1;2.06;1;0;3.91;1.02
18HU18028_1692;21;47.78717;-64.02883;454719;5.65;23-oct-18;09:37:00;29.75;5.81;315.83552;8.18;7.147;0.829;2.55;1;0.12;1;2;1;0.53;1;1.98;1;256;3.77;1.01
18HU18028_1692;21;47.78717;-64.02883;454718;16.56;23-oct-18;09:37:00;29.75;5.84;315.5229;8.179;NaN;0.819;2.355;1;0.125;1;1.955;1;0.53;1;1.965;1;0;3.69;0.99
18HU18028_1692;21;47.78717;-64.02883;454717;25.88;23-oct-18;09:37:00;29.78;5.97;314.31708;8.18;NaN;0.821;2.37;1;0.13;1;1.845;1;0.525;1;1.88;1;0;3.51;0.98
18HU18028_1692;21;47.78717;-64.02883;454716;50.17;23-oct-18;09:37:00;30.5;4.74;313.0666;8.117;7.0635;0.359;0.715;1;0.2;1;3.185;1;0.665;1;3.34;1;256;4.79;0.95
18HU18028_1692;21;47.78717;-64.02883;454715;78.32;23-oct-18;09:37:00;31.66;1.64;265.01244;7.892;6.227;0.158;0.22;1;0.125;1;9.235;1;1.15;1;13.02;1;256;8.03;0.71
18HU18028_1693;41;47.66583;-63.75067;454725;2.18;23-oct-18;16:01:00;30.22;5.14;319.14036;8.162;NaN;0.541;1.365;1;0.16;1;2.43;1;0.585;1;2.525;1;0;4.15;0.96
18HU18028_1693;41;47.66583;-63.75067;454724;5.35;23-oct-18;16:01:00;30.22;5.14;319.40832;8.162;7.224;0.62;1.49;1;0.165;1;2.435;1;0.59;1;2.52;1;256;4.13;0.97
18HU18028_1693;41;47.66583;-63.75067;454723;15.77;23-oct-18;16:01:00;30.22;5.09;318.69376;8.156;NaN;0.548;1.16;1;0.165;1;2.455;1;0.59;1;2.585;1;0;4.16;0.95
18HU18028_1693;41;47.66583;-63.75067;454722;25.58;23-oct-18;16:01:00;30.58;4.8;315.83552;8.128;NaN;0.36;0.695;1;0.19;1;2.72;1;0.635;1;2.825;1;0;4.28;0.96
18HU18028_1693;41;47.66583;-63.75067;454721;60.08;23-oct-18;16:01:00;31.63;1.58;273.85512;7.915;6.18;0.152;0.22;1;0.11;1;9.75;1;1.2;1;14.635;1;256;8.13;0.67
18HU18028_1694;51;47.50067;-63.2495;454731;1.59;23-oct-18;19:23:00;29.94;6.62;308.91322;8.189;NaN;1.027;2.03;1;0.105;1;1.685;1;0.505;1;2.41;1;0;3.34;0.70
18HU18028_1694;51;47.50067;-63.2495;454730;5.85;23-oct-18;19:23:00;29.94;6.62;309.0472;8.189;7.0085;1.09;2.01;1;0.105;1;1.675;1;0.51;1;2.445;1;256;3.28;0.69
18HU18028_1694;51;47.50067;-63.2495;454729;15.97;23-oct-18;19:23:00;29.94;6.6;308.68992;8.185;NaN;1.133;1.975;1;0.11;1;1.67;1;0.505;1;2.46;1;0;3.31;0.68
18HU18028_1694;51;47.50067;-63.2495;454728;25.29;23-oct-18;19:23:00;29.95;6.57;307.52876;8.165;NaN;1.01;1.49;1;0.105;1;1.71;1;0.535;1;2.44;1;0;3.20;0.70
18HU18028_1694;51;47.50067;-63.2495;454727;50.27;23-oct-18;19:23:00;31.53;1.45;274.03376;7.895;6.06;0.122;0.135;1;0.1;1;9.95;1;1.225;1;13.115;1;256;8.12;0.76
18HU18028_1694;51;47.50067;-63.2495;454726;74.36;23-oct-18;19:23:00;31.73;0.38;229.46308;7.736;5.584;0.193;0.29;1;0.09;1;12.75;1;1.495;1;24.775;1;256;8.53;0.51
18HU18028_1695;61;47.33333;-62.75017;454736;2.58;23-oct-18;22:44:00;29.68;8.29;296.7657;8.225;NaN;1.173;2.815;1;0.11;1;0.815;1;0.33;1;2.055;1;0;2.47;0.40
18HU18028_1695;61;47.33333;-62.75017;454735;5.65;23-oct-18;22:44:00;29.68;8.28;297.07832;8.224;6.767;1.237;2.55;1;0.115;1;0.835;1;0.325;1;2.05;1;256;2.57;0.41
18HU18028_1695;61;47.33333;-62.75017;454734;15.37;23-oct-18;22:44:00;29.68;8.29;296.89968;8.221;NaN;1.182;3.09;1;0.11;1;0.83;1;0.33;1;2.06;1;0;2.52;0.40
