CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU76020_284;5;42.6667;-64;-26;10;30-jun-76;22:33:00;31.46;1;6.3;1;2.15;1;0.27;1;0.21;1;0;7.96;10.24
18HU76020_284;5;42.6667;-64;-27;20;30-jun-76;22:33:00;31.71;1;6.4;1;1.81;1;0.34;1;0.6;1;0;5.32;3.02
18HU76020_284;5;42.6667;-64;-28;30;30-jun-76;22:33:00;32.24;1;6.8;1;1.45;1;0.34;1;0.15;1;0;4.26;9.67
18HU76020_284;5;42.6667;-64;-29;50;30-jun-76;22:33:00;32.47;1;6.8;1;6.18;1;0.84;1;6.53;1;0;7.36;0.95
18HU76020_284;5;42.6667;-64;-30;75;30-jun-76;22:33:00;32.69;1;6.1;1;9.12;1;0.94;1;8.53;1;0;9.70;1.07
18HU76020_284;5;42.6667;-64;-31;100;30-jun-76;22:33:00;33.17;1;5.5;1;13.35;1;1.19;1;14.26;1;0;11.22;0.94
18HU76020_284;5;42.6667;-64;-32;125;30-jun-76;22:33:00;33.91;1;4.5;1;13.2;1;1.37;1;18.12;1;0;9.64;0.73
18HU76020_284;5;42.6667;-64;-33;150;30-jun-76;22:33:00;34.62;1;3.9;1;13.45;1;1.23;1;17.05;1;0;10.93;0.79
18HU76020_304;6;42.71;-64.0083;-18;10;01-jul-76;00:27:00;31.37;1;6.4;1;1.9;1;0.32;1;0.28;1;0;5.94;6.79
18HU76020_304;6;42.71;-64.0083;-19;20;01-jul-76;00:27:00;31.52;1;6.5;1;1.98;1;0.3;1;0.09;1;0;6.60;22.00
18HU76020_304;6;42.71;-64.0083;-20;30;01-jul-76;00:27:00;32;1;6.5;1;1.34;1;0.32;1;0.18;1;0;4.19;7.44
18HU76020_304;6;42.71;-64.0083;-21;50;01-jul-76;00:27:00;32.42;1;6.7;1;3.55;1;0.63;1;3.86;1;0;5.63;0.92
