CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU87037_002;CAST#1;43.85;-49.33;38302;16;10-oct-87;13:47:00;8.994;7.64;1;4.26;2;0.93;2;3.7;1;2048;4.58;1.15
18HU87037_002;CAST#1;43.85;-49.33;38301;54;10-oct-87;13:47:00;0.484;7.69;1;6.52;1;0.96;1;6;1;0;6.79;1.09
18HU87037_113;CAST#1;43.735;-48.92167;38314;12;10-oct-87;16:02:00;10.415;6.73;1;0.06;1;0.45;1;0.58;1;0;0.13;0.10
18HU87037_113;CAST#1;43.735;-48.92167;38313;103;10-oct-87;16:02:00;5.302;5.68;1;18.01;1;1.36;1;10.35;1;0;13.24;1.74
18HU87037_113;CAST#1;43.735;-48.92167;38312;205;10-oct-87;16:02:00;5.895;4.97;1;21.17;1;1.43;1;14.24;1;0;14.80;1.49
18HU87037_113;CAST#1;43.735;-48.92167;38311;305;10-oct-87;16:02:00;3.715;6.4;1;17.47;1;1.23;1;9.38;1;0;14.20;1.86
18HU87037_113;CAST#1;43.735;-48.92167;38310;404;10-oct-87;16:02:00;3.556;6.55;1;17.26;1;1.17;1;9.46;1;0;14.75;1.82
18HU87037_113;CAST#1;43.735;-48.92167;38309;609;10-oct-87;16:02:00;3.658;6.56;1;17.63;1;1.43;1;10.78;1;0;12.33;1.64
18HU87037_113;CAST#1;43.735;-48.92167;38308;814;10-oct-87;16:02:00;3.238;6.85;1;17.35;1;1.25;1;10.27;1;0;13.88;1.69
18HU87037_113;CAST#1;43.735;-48.92167;38307;1017;10-oct-87;16:02:00;3.271;6.81;1;17.22;1;1.76;1;13.54;1;0;9.78;1.27
18HU87037_113;CAST#1;43.735;-48.92167;38306;1220;10-oct-87;16:02:00;3.303;5.74;1;17.12;1;1.17;1;10.78;1;0;14.63;1.59
18HU87037_113;CAST#1;43.735;-48.92167;38305;1420;10-oct-87;16:02:00;3.333;6.81;1;17.31;1;1.28;1;10.81;1;0;13.52;1.60
18HU87037_225;CAST#1;43.615;-48.43333;38334;20;10-oct-87;19:26:00;10.527;6.63;1;0.01;1;0.26;1;0.85;1;0;0.04;0.01
18HU87037_225;CAST#1;43.615;-48.43333;38333;102;10-oct-87;19:26:00;7.336;5.04;1;16.54;1;1.18;1;9.18;1;0;14.02;1.80
18HU87037_225;CAST#1;43.615;-48.43333;38332;210;10-oct-87;19:26:00;6.345;4.68;1;21.06;1;1.43;1;13.02;1;0;14.73;1.62
18HU87037_225;CAST#1;43.615;-48.43333;38331;304;10-oct-87;19:26:00;5.412;5.2;1;20.35;1;1.41;1;12.52;1;0;14.43;1.63
18HU87037_225;CAST#1;43.615;-48.43333;38330;405;10-oct-87;19:26:00;4.996;5.15;1;19.6;1;1.33;1;12.07;1;0;14.74;1.62
18HU87037_225;CAST#1;43.615;-48.43333;38329;510;10-oct-87;19:26:00;4.417;5.06;1;19.32;1;1.31;1;11.6;1;0;14.75;1.67
18HU87037_225;CAST#1;43.615;-48.43333;38328;610;10-oct-87;19:26:00;4.484;2.49;1;19.23;1;1.25;1;11.45;1;0;15.38;1.68
18HU87037_225;CAST#1;43.615;-48.43333;38327;820;10-oct-87;19:26:00;4;4.33;1;18.53;1;1.22;1;13.09;1;0;15.19;1.42
18HU87037_225;CAST#1;43.615;-48.43333;38326;1014;10-oct-87;19:26:00;3.655;5.92;1;17.93;1;1.17;1;10.54;1;0;15.32;1.70
18HU87037_225;CAST#1;43.615;-48.43333;38325;1268;10-oct-87;19:26:00;3.49;5.08;1;17.87;1;1.33;1;10.83;1;0;13.44;1.65
18HU87037_225;CAST#1;43.615;-48.43333;38324;1500;10-oct-87;19:26:00;3.447;6.42;1;17.85;1;1.21;1;11.23;1;0;14.75;1.59
18HU87037_225;CAST#1;43.615;-48.43333;38323;1750;10-oct-87;19:26:00;3.464;6.33;1;17.99;1;1.22;1;11.8;1;0;14.75;1.52
18HU87037_225;CAST#1;43.615;-48.43333;38322;1980;10-oct-87;19:26:00;3.421;6.43;1;18.34;1;1.2;1;12.84;1;0;15.28;1.43
18HU87037_225;CAST#1;43.615;-48.43333;38321;2220;10-oct-87;19:26:00;3.248;6.3;1;17.84;1;1.23;1;12.76;1;0;14.50;1.40
18HU87037_225;CAST#1;43.615;-48.43333;38320;2460;10-oct-87;19:26:00;3.108;5.93;1;17.68;1;1.23;1;13.48;1;0;14.37;1.31
18HU87037_225;CAST#1;43.615;-48.43333;38319;2770;10-oct-87;19:26:00;2.871;5.94;1;17.51;1;1.25;1;14.58;1;0;14.01;1.20
18HU87037_225;CAST#1;43.615;-48.43333;38318;2970;10-oct-87;19:26:00;2.698;6.45;1;17.4;1;1.26;1;15.88;1;0;13.81;1.10
