CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;TE90;OXYM_01;Q_OXYM;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(celsius);(mmol/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU90001_341;1;42.46;-58.64;67003;5;06-apr-90;16:06:00;NaN;7.5;NaN;NaN;9;1.55;1;2.31;1;0.39;1;0.97;1;0;5.92;2.38
18HU90001_341;1;42.46;-58.64;67002;15;06-apr-90;16:06:00;NaN;11.3;NaN;NaN;9;1.44;1;5.02;1;0.49;1;2.02;1;0;10.24;2.49
18HU90001_341;1;42.46;-58.64;67001;25;06-apr-90;16:06:00;NaN;13.3;NaN;NaN;9;0.58;1;6.92;1;0.48;1;2.91;1;0;14.42;2.38
18HU90001_342;3;40.92;-54.5;67006;5;07-apr-90;11:44:00;NaN;16.3;NaN;NaN;9;1.93;1;0.08;1;0.18;1;1.63;1;0;0.44;0.05
18HU90001_342;3;40.92;-54.5;67005;20;07-apr-90;11:44:00;NaN;15.8;NaN;NaN;9;2.4;1;0.31;1;0.23;1;1.71;1;0;1.35;0.18
18HU90001_342;3;40.92;-54.5;67004;40;07-apr-90;11:44:00;NaN;14;NaN;NaN;9;0.11;1;7.35;1;0.56;1;3.3;1;0;13.12;2.23
18HU90001_343;189;40;-55.81;67562;1;26-apr-90;09:16:00;36.507;NaN;18.939;8.25570980743395;3;0.66;1;0.01;1;0.15;1;0.57;1;1024;0.07;0.02
18HU90001_343;189;40;-55.81;67561;5;26-apr-90;09:16:00;36.54;NaN;18.971;7.53470667263771;3;0.66;1;0.01;1;0.18;1;0.56;1;1024;0.06;0.02
18HU90001_343;189;40;-55.81;67560;10;26-apr-90;09:16:00;36.539;NaN;18.976;8.04075235109718;3;0.66;1;0.01;1;0.17;1;0.46;1;1024;0.06;0.02
18HU90001_343;189;40;-55.81;67559;15;26-apr-90;09:16:00;36.541;NaN;18.974;7.5974025974026;1;0.67;1;0.01;1;0.16;1;0.49;1;0;0.06;0.02
18HU90001_343;189;40;-55.81;67558;25;26-apr-90;09:16:00;36.543;NaN;18.979;8.11464397671294;1;0.6;1;0.02;1;0.14;1;0.49;1;0;0.14;0.04
18HU90001_343;189;40;-55.81;67557;30;26-apr-90;09:16:00;36.542;NaN;18.984;7.57725033587103;1;0.66;1;0.04;1;0.12;1;0.48;1;0;0.33;0.08
18HU90001_343;189;40;-55.81;67556;35;26-apr-90;09:16:00;36.542;NaN;18.986;8.08553515450067;1;0.66;1;0.07;1;0.13;1;0.5;1;0;0.54;0.14
18HU90001_343;189;40;-55.81;67555;45;26-apr-90;09:16:00;36.544;NaN;18.985;7.59516345723242;1;0.69;1;0.06;1;0.13;1;0.54;1;0;0.46;0.11
18HU90001_343;189;40;-55.81;67554;50;26-apr-90;09:16:00;36.544;NaN;18.986;8.0832960143305;1;0.67;1;0.06;1;0.12;1;0.54;1;0;0.50;0.11
18HU90001_343;189;40;-55.81;67553;60;26-apr-90;09:16:00;36.545;NaN;18.986;7.60412001791312;1;0.74;1;0.19;1;0.12;1;0.5;1;0;1.58;0.38
18HU90001_343;189;40;-55.81;67552;65;26-apr-90;09:16:00;36.546;NaN;18.985;8.04075235109718;1;0.64;1;0.26;1;0.11;1;0.55;1;0;2.36;0.47
18HU90001_343;189;40;-55.81;67551;75;26-apr-90;09:16:00;36.549;NaN;18.977;7.60859829825347;1;0.46;1;0.34;1;0.12;1;0.5;1;0;2.83;0.68
18HU90001_343;189;40;-55.81;67550;90;26-apr-90;09:16:00;36.551;NaN;18.928;7.95118674429019;1;0.22;1;0.68;1;0.13;1;0.62;1;0;5.23;1.10
18HU90001_343;189;40;-55.81;67549;105;26-apr-90;09:16:00;36.552;NaN;18.925;7.42722794446932;1;0.19;1;0.72;1;0.13;1;0.65;1;0;5.54;1.11
18HU90001_343;189;40;-55.81;67548;120;26-apr-90;09:16:00;36.554;NaN;18.923;7.9064039408867;1;0.19;1;0.78;1;0.14;1;0.67;1;0;5.57;1.16
18HU90001_343;189;40;-55.81;67547;135;26-apr-90;09:16:00;36.554;NaN;18.919;7.39140170174653;1;0.13;1;0.79;1;0.14;1;0.68;1;0;5.64;1.16
18HU90001_343;189;40;-55.81;67545;175;26-apr-90;09:16:00;36.553;NaN;18.695;7.55038065382893;1;0.01;1;1.88;1;0.17;1;0.93;1;0;11.06;2.02
18HU90001_344;191;40.01;-55.77;67462;1;26-apr-90;10:55:00;NaN;18.7;NaN;NaN;9;0.63;1;0.19;1;0.1;1;0.48;1;0;1.90;0.40
18HU90001_345;194;40.45;-56.33;67463;1;26-apr-90;17:47:00;NaN;18.7;NaN;NaN;9;0.87;1;0.23;1;0.21;1;0.41;1;0;1.10;0.56
18HU90001_346;195;40.44;-56.32;67580;1;26-apr-90;17:59:00;36.544;NaN;18.907;NaN;9;0.86;1;0.11;1;0.11;1;0.33;1;0;1.00;0.33
18HU90001_346;195;40.44;-56.32;67579;5;26-apr-90;17:59:00;36.547;NaN;18.942;NaN;9;0.86;1;0.13;1;0.13;1;0.41;1;0;1.00;0.32
18HU90001_346;195;40.44;-56.32;67577;15;26-apr-90;17:59:00;36.547;NaN;18.955;NaN;9;0.82;1;0.1;1;0.12;1;0.36;1;0;0.83;0.28
18HU90001_346;195;40.44;-56.32;67575;30;26-apr-90;17:59:00;36.548;NaN;18.957;NaN;9;0.84;1;0.11;1;0.07;1;0.32;1;0;1.57;0.34
18HU90001_346;195;40.44;-56.32;67574;35;26-apr-90;17:59:00;36.55;NaN;18.958;NaN;9;1.18;1;0.09;1;0.1;1;0.29;1;0;0.90;0.31
18HU90001_346;195;40.44;-56.32;67573;45;26-apr-90;17:59:00;36.551;NaN;18.956;NaN;9;0.97;1;0.08;1;0.08;1;0.34;1;0;1.00;0.24
18HU90001_346;195;40.44;-56.32;67572;50;26-apr-90;17:59:00;36.551;NaN;18.958;NaN;9;0.86;1;0.06;1;0.09;1;0.31;1;0;0.67;0.19
18HU90001_346;195;40.44;-56.32;67571;60;26-apr-90;17:59:00;36.551;NaN;18.957;NaN;9;0.89;1;0.09;1;0.11;1;0.36;1;0;0.82;0.25
