CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;OXYM_01;CHL_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18MF01015_572;421;47.58333;-59.34317;217698;2.48;05-jun-01;10:54:00;31.43;7.17;7.66;0.63;0.4;3.193;0.01;1;0.145;1;0.15;2;0.51;1;2048;0.97;0.28
18MF01015_572;421;47.58333;-59.34317;217697;5.45;05-jun-01;10:54:00;31.32;7.2;NaN;0.795;0.555;3.32;0.01;1;0.27;1;0.19;1;0.355;1;0;1.42;0.76
18MF01015_572;421;47.58333;-59.34317;217696;14.77;05-jun-01;10:54:00;31.35;7.19;NaN;0.765;0.49;3.177;0.015;1;0.17;1;0.235;1;0.45;1;0;0.72;0.38
18MF01015_572;421;47.58333;-59.34317;217695;25.29;05-jun-01;10:54:00;31.65;6.9;NaN;0.435;0.28;2.881;0.005;1;0.17;1;0.25;1;0.385;1;0;0.68;0.44
18MF01015_572;421;47.58333;-59.34317;217694;49.77;05-jun-01;10:54:00;31.85;4.43;NaN;0.4;0.36;2.64;0.025;1;0.77;1;0.37;1;0.62;1;0;2.08;1.24
18MF01015_572;421;47.58333;-59.34317;217693;100.63;05-jun-01;10:54:00;32.57;0.69;NaN;0.37;0.335;2.388;0.085;1;5.405;1;0.8;1;3.745;1;0;6.76;1.44
18MF01015_572;421;47.58333;-59.34317;217692;199.82;05-jun-01;10:54:00;34.2;5.3;NaN;NaN;NaN;2.158;0.1;1;17.075;1;1.29;1;14.515;1;0;13.24;1.18
18MF01015_572;421;47.58333;-59.34317;217691;250.83;05-jun-01;10:54:00;34.64;6.17;3.975;NaN;NaN;2.112;0.07;1;20.76;1;1.44;1;18.88;1;0;14.42;1.10
18MF01015_573;431;47.434;-59.558;217708;2.68;05-jun-01;12:53:00;31.93;6.19;7.765;0.43;0.255;2.038;0.01;1;0.06;1;0.295;1;0.48667;1;0;0.20;0.12
18MF01015_573;431;47.434;-59.558;217707;4.86;05-jun-01;12:53:00;32.06;3.37;NaN;0.805;0.625;2.522;0.02;1;0.58;1;0.38;1;0.615;1;0;1.53;0.94
18MF01015_573;431;47.434;-59.558;217706;15.07;05-jun-01;12:53:00;32.16;1.68;NaN;0.5;0.32;2.587;0.035;1;1.12;1;0.465;1;0.68;1;0;2.41;1.65
18MF01015_573;431;47.434;-59.558;217705;25.29;05-jun-01;12:53:00;32.2;1.37;NaN;0.575;0.435;2.483;0.035;1;1.295;1;0.505;1;0.835;1;0;2.56;1.55
18MF01015_573;431;47.434;-59.558;217704;51.76;05-jun-01;12:53:00;32.29;0.68;NaN;0.99;0.795;3.261;0.04;1;1.655;1;0.575;1;0.35;1;0;2.88;4.73
