CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NE17020_002;HL_02;44.26836;-63.32914;436996;1.32;28-jun-17;00:46:00;1.329;30.6673;12.1227;6.2271;0.24575;1;30.685;1;6.72;1;0.035;1;0;1;0.3205;1;0.34;1;0;0.00;0.00
18NE17020_002;HL_02;44.26842;-63.32906;436995;5.18;28-jun-17;00:46:00;5.183;30.7482;10.3879;6.4104;0.22527;1;NaN;9;NaN;9;0.035;1;0;1;0.332;1;0.38;1;0;0.00;0.00
18NE17020_002;HL_02;44.26874;-63.3288;436994;10.44;28-jun-17;00:46:00;10.442;30.7852;9.71;6.4704;0.19114;1;NaN;9;NaN;9;0.035;1;0;1;0.3815;1;0.625;1;0;0.00;0.00
18NE17020_002;HL_02;44.26886;-63.3287;436993;20.18;28-jun-17;00:46:00;20.187;31.1316;5.0676;7.059;0.6754;1;NaN;9;NaN;9;0.07;1;0.425;1;0.4505;1;0.915;1;0;0.94;0.46
18NE17020_002;HL_02;44.26912;-63.32858;436992;30.13;28-jun-17;00:46:00;30.134;31.3327;4.0394;7.0764;0.45027;1;NaN;9;NaN;9;0.135;1;1.235;1;0.5395;1;1.55;1;0;2.29;0.80
18NE17020_002;HL_02;44.26928;-63.32843;436991;40.65;28-jun-17;00:46:00;40.654;31.648;3.0457;6.9597;0.15018;1;31.688;1;7.3;1;0.215;1;2.67;1;0.673;1;2.62;1;0;3.97;1.02
18NE17020_002;HL_02;44.26943;-63.3283;436990;50.65;28-jun-17;00:46:00;50.651;31.8226;2.4516;6.962;0.17239;1;NaN;9;NaN;9;0.22;1;3.545;1;0.723;1;3.095;1;0;4.90;1.15
18NE17020_002;HL_02;44.26974;-63.32806;436989;76.08;28-jun-17;00:46:00;76.085;32.12;2.297;6.4819;0.04433;1;NaN;9;NaN;9;0.2;1;6.38;1;0.895;1;5.66;1;0;7.13;1.13
