CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Q_OXYM;CHL_01;Q_CHL;CHL_03;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);((none));(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NE95031_451;81;47.79033;-60.49517;231;1.69;11-aug-95;21:13:00;29.47;18.32;262.69012;NaN;9;0.13;1;0.19;1;0.10333;1;1.73667;1;0.42;1;2.35;1;0;4.13;0.74
18NE95031_451;81;47.79033;-60.49517;232;5.16;11-aug-95;21:13:00;29.65;18.14;290.29;6.085;7;0.16;1;0.23;1;0.08;1;1.75;1;0.38;1;1.18;1;256;4.61;1.48
18NE95031_451;81;47.79033;-60.49517;233;14.77;11-aug-95;21:13:00;30.61;11.24;337.13834;6.79;7;0.16;1;0.21667;1;0.11;1;1.74;1;0.47;1;0.93;1;256;3.70;1.87
18NE95031_451;81;47.79033;-60.49517;234;99.44;11-aug-95;21:13:00;32.19;0.25;351.60818;7.66;7;0.04;1;0.09;1;0.23;1;6.4;1;1.05;1;3.57;1;256;6.10;1.79
18NE95031_451;81;47.79033;-60.49517;235;348.46;11-aug-95;21:13:00;34.75;5.34;144.51976;3.63;7;0.01;1;0.03;1;0.1;1;23.83;1;1.96;1;30.49;1;256;12.16;0.78
18NE95031_447;161;47.7575;-59.5595;241;1.59;12-aug-95;16:12:00;30.64;17.3;259.9212;NaN;9;0.17;1;0.24;1;0.10333;1;1.20667;1;0.47667;1;1.03;1;0;2.53;1.17
18NE95031_447;161;47.7575;-59.5595;242;5.55;12-aug-95;16:12:00;30.64;17.3;276.80268;5.825;7;0.18;1;0.25;1;0.09;1;1.31;1;0.42;1;1.11;1;256;3.12;1.18
18NE95031_447;161;47.7575;-59.5595;243;15.27;12-aug-95;16:12:00;31.52;6.45;313.60252;7.32;7;0.85;1;0.76667;1;0.1;1;1.84;1;0.64;1;1.53;1;256;2.88;1.20
18NE95031_447;161;47.7575;-59.5595;244;60.08;12-aug-95;16:12:00;32.09;0.45;352.85866;7.71;7;0.1;1;0.16;1;0.3;1;5.56;1;0.98;1;3.27;1;256;5.67;1.70
18NE95031_447;161;47.7575;-59.5595;245;322.62;12-aug-95;16:12:00;34.72;5.68;155.95272;3.82;7;0.01;1;0.03;1;0.15;1;25.03;2;1.82;1;24.7;1;2304;13.75;1.01
18NE95031_448;211;47.51133;-58.88667;246;0.5;13-aug-95;00:43:00;31.17;17.31;257.37558;NaN;9;0.09;1;0.11;1;0.10667;1;1.71333;1;0.44667;1;1.86333;1;0;3.84;0.92
18NE95031_448;211;47.51133;-58.88667;247;5.06;13-aug-95;00:43:00;31.17;17.31;271.9794;5.88;7;0.1;1;0.11;1;0.11;1;1.57;1;0.43;1;0.99;1;256;3.65;1.59
18NE95031_448;211;47.51133;-58.88667;248;14.28;13-aug-95;00:43:00;31.45;12.71;297.70356;7.105;7;0.16667;1;0.22333;1;0.1;1;1.88;1;0.49;1;0.94;1;256;3.84;2.00
18NE95031_448;211;47.51133;-58.88667;249;59.59;13-aug-95;00:43:00;32.22;0.88;392.47208;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE95031_448;211;47.51133;-58.88667;250;159.79;13-aug-95;00:43:00;33.24;2.22;286.58322;5.66;7;0.01;1;0.05;1;0.15;1;15.47;1;1.47;1;13.63;1;256;10.52;1.13
18NE95031_449;251;47.44083;-58.63633;258;1.78;13-aug-95;07:59:00;31.28;16.7;271.39882;NaN;9;0.08;1;0.1;1;0.1;1;1.63;1;0.37;1;0.78667;1;0;4.41;2.07
18NE95031_449;251;47.44083;-58.63633;259;4.96;13-aug-95;07:59:00;31.28;16.69;288.32496;5.925;7;0.11;1;0.13;1;0.08;1;1.47;1;0.38;1;0.75;1;256;3.87;1.96
18NE95031_449;251;47.44083;-58.63633;260;14.87;13-aug-95;07:59:00;31.8;8.77;332.40438;7.48;7;0.15;1;0.21;1;0.09;1;1.38;1;0.45;1;0.48;1;256;3.07;2.88
18NE95031_449;251;47.44083;-58.63633;261;49.68;13-aug-95;07:59:00;32.13;1.3;372.77702;7.775;7;0.15;1;0.25;1;0.29;1;3.83;1;0.92;1;0.62;2;2304;4.16;6.18
18NE95031_449;251;47.44083;-58.63633;262;148.3;13-aug-95;07:59:00;32.85;0.95;337.36164;6.66;7;0.03;1;0.08;1;0.22;1;11.23;1;1.29;1;9.46;1;256;8.71;1.19
18NE95031_450;271;47.28733;-59.181;263;0.99;13-aug-95;12:17:00;NaN;16.38;NaN;NaN;9;0.2;1;0.28;1;0.11333;1;1.32333;1;0.42;1;1.33333;1;0;3.15;0.99
18NE95031_450;271;47.28733;-59.181;264;4.96;13-aug-95;12:17:00;31.12;16.37;302.03558;6.01;7;0.24;1;0.31;1;0.07;1;1.96;1;0.35;1;0.89;1;256;5.60;2.20
