CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18OL03064_668;251;47.8285;-64.24917;275191;1.09;26-oct-03;23:49:00;30.15;7.17;305.07246;6.837;1.97;18.133;0.13;1;1.715;1;0.515;1;3.995;1;256;3.33;0.43
18OL03064_668;251;47.8285;-64.24917;275190;5.16;26-oct-03;23:49:00;30.2;7.07;305.38508;6.817;1.63;15.264;0.14333;1;1.625;1;0.52;1;3.46;1;256;3.13;0.47
18OL03064_668;251;47.8285;-64.24917;275189;14.97;26-oct-03;23:49:00;30.16;7.14;306.18896;6.827;1.735;16.72;0.09;1;1.595;1;0.495;1;3.715;1;256;3.22;0.43
18OL03064_668;251;47.8285;-64.24917;275188;25.09;26-oct-03;23:49:00;30.3;6.87;304.62586;6.786;1.08;10.227;0.11333;1;1.61667;1;0.51667;1;3.86667;1;256;3.13;0.42
18OL03064_668;251;47.8285;-64.24917;275187;40.75;26-oct-03;23:49:00;30.92;5.43;302.61616;6.759;0.44;4.646;0.15;1;3.49333;1;0.70333;1;5.615;1;256;4.97;0.62
18OL03064_669;261;47.74083;-63.99767;275197;1.88;27-oct-03;01:36:00;30.29;6.91;304.93848;6.896;1.59;15.9;0.09667;1;1.36;1;0.5;1;3.42;1;256;2.72;0.40
18OL03064_669;261;47.74083;-63.99767;275196;4.76;27-oct-03;01:36:00;30.28;6.92;306.3676;6.892;1.585;15.714;0.09667;1;1.43;1;0.51333;1;3.19;1;256;2.79;0.45
18OL03064_669;261;47.74083;-63.99767;275195;15.27;27-oct-03;01:36:00;30.49;6.62;309.76176;6.94;1.72;15.843;0.08667;1;1.36667;1;0.50667;1;2.97;1;256;2.70;0.46
18OL03064_669;261;47.74083;-63.99767;275194;25.19;27-oct-03;01:36:00;30.62;6.45;310.6103;6.944;1.47;13.817;0.08667;1;1.29667;1;0.51;1;2.975;1;256;2.54;0.44
18OL03064_669;261;47.74083;-63.99767;275193;51.36;27-oct-03;01:36:00;32;1.63;320.4355;7.014;0.155;2.038;0.135;1;7.44;1;1.03;1;8.195;1;256;7.22;0.91
18OL03064_669;261;47.74083;-63.99767;275192;73.27;27-oct-03;01:36:00;32.31;0.42;265.14642;6.005;0.19;2.121;0.11;1;12.825;1;1.47;1;19.09;1;256;8.72;0.67
18OL03064_670;271;47.66;-63.7495;275203;1.19;29-oct-03;04:16:00;30.54;6.63;308.73458;7.031;1.895;9.381;0.11;1;1.29;1;0.49;1;2.98;1;256;2.63;0.43
18OL03064_670;271;47.66;-63.7495;275202;5.06;29-oct-03;04:16:00;30.56;6.57;307.79672;7.005;1.84;19.165;0.09;1;1.29;1;0.48333;1;2.58;1;256;2.67;0.50
18OL03064_670;271;47.66;-63.7495;275201;14.87;29-oct-03;04:16:00;30.56;6.55;313.2899;6.973;1.73;18.534;0.08667;1;1.35;1;0.5;1;2.725;1;256;2.70;0.50
18OL03064_670;271;47.66;-63.7495;275200;25.09;29-oct-03;04:16:00;31.52;3.41;308.42196;6.9265;0.195;2.483;0.16;1;5.63667;1;0.9;1;6.385;1;256;6.26;0.88
18OL03064_670;271;47.66;-63.7495;275199;49.97;29-oct-03;04:16:00;32.16;0.91;288.5036;6.302;0.13;1.99;0.11667;1;11.04333;1;1.34333;1;15.735;1;256;8.22;0.70
18OL03064_670;271;47.66;-63.7495;275198;62.76;29-oct-03;04:16:00;32.17;0.82;273.67648;6.245;0.145;2.199;0.11667;1;11.35;1;1.35667;1;17.1;1;256;8.37;0.66
18OL03064_671;281;47.5005;-63.2495;275209;1.19;29-oct-03;06:44:00;29.84;9.32;293.50552;6.509;1.395;13.759;0.075;1;0.72;1;0.36;1;2.6;1;256;2.00;0.28
18OL03064_671;281;47.5005;-63.2495;275208;5.06;29-oct-03;06:44:00;29.84;9.33;293.59484;6.493;1.485;13.427;0.065;1;0.76;1;0.385;1;2.58;1;256;1.97;0.29
18OL03064_671;281;47.5005;-63.2495;275207;15.07;29-oct-03;06:44:00;29.84;9.32;294.13076;6.509;1.38;13.521;0.08;1;0.79;1;0.385;1;2.49;1;256;2.05;0.32
18OL03064_671;281;47.5005;-63.2495;275206;24.99;29-oct-03;06:44:00;29.89;9.05;294.62202;6.492;1.12;11.022;0.1;1;1.16;1;0.425;1;2.97;1;256;2.73;0.39
18OL03064_671;281;47.5005;-63.2495;275205;50.07;29-oct-03;06:44:00;32.05;0.02;260.76974;5.603;0.125;2.442;0.11;1;12.6;1;1.59667;1;24.35;1;256;7.89;0.52
18OL03064_671;281;47.5005;-63.2495;275204;75.05;29-oct-03;06:44:00;32.19;0.08;245.13874;5.6;0.195;2.451;0.125;1;12.9;1;1.565;1;24.685;1;256;8.24;0.52
18OL03064_672;291;47.32917;-62.74933;275214;1.39;29-oct-03;09:12:00;30.32;8.76;299.71326;6.647;2.17;20.65;0.09;1;0.645;1;0.435;1;2.505;1;256;1.48;0.26
18OL03064_672;291;47.32917;-62.74933;275213;5.26;29-oct-03;09:12:00;30.32;8.76;299.75792;6.6615;2.025;20.316;0.085;1;0.665;1;0.405;1;2.43;1;256;1.64;0.27
18OL03064_672;291;47.32917;-62.74933;275212;15.07;29-oct-03;09:12:00;30.37;8.76;300.5618;6.623;2.08;18.999;0.07;1;0.65;1;0.41;1;2.62;1;256;1.59;0.25
18OL03064_672;291;47.32917;-62.74933;275211;25.29;29-oct-03;09:12:00;30.59;8.33;299.53462;6.613;1.22;12.265;0.1;1;1.045;1;0.46;1;3.095;1;256;2.27;0.34
18OL03064_672;291;47.32917;-62.74933;275210;50.37;29-oct-03;09:12:00;31.93;0.09;265.23574;6.05;0.255;3.135;0.185;1;10.495;1;1.5;1;19.455;1;256;7.00;0.54
18OL03064_673;301;47.16883;-62.25017;275219;0.99;29-oct-03;11:37:00;30.14;8.75;294.35406;6.609;2.15;22.668;0.1;1;0.845;1;0.445;1;2.665;1;256;1.90;0.32
18OL03064_673;301;47.16883;-62.25017;275218;5.06;29-oct-03;11:37:00;30.14;8.75;295.24726;6.611;2.32;23.332;0.085;1;0.8;1;0.44;1;2.69;1;256;1.82;0.30
