CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_03;Q_CHL;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL01003_002;STN27;47.5467;-52.5867;222162;6;21-apr-01;21:12:00;5.88;31.783;1;9.00491939095387;1;-0.966;1;1.21;1;1.09;1;2.06;1;0.59;1;0.92;1;0;3.49;2.24
18TL01003_002;STN27;47.5467;-52.5867;222161;10;21-apr-01;21:12:00;10.33;31.782;1;9.00891849529781;1;-0.964;1;1.27;1;1.14;1;0.08;1;0.34;1;0.99;1;0;0.24;0.08
18TL01003_002;STN27;47.5467;-52.5867;222160;20;21-apr-01;21:12:00;20.51;31.842;1;8.97391849529781;1;-1.114;1;1.18;1;1.06;1;1.52;1;0.65;1;1.09;1;0;2.34;1.39
18TL01003_002;STN27;47.5467;-52.5867;222159;29;21-apr-01;21:12:00;29.59;31.908;1;9.04092028660994;1;-1.187;1;1.89;1;1.75;1;2.96;1;0.53;1;2.94;1;0;5.58;1.01
18TL01003_002;STN27;47.5467;-52.5867;222158;39;21-apr-01;21:12:00;39.71;32.17;1;8.97391849529781;1;-0.922;1;1.26;1;1.15;1;3.21;1;0.55;1;3.11;1;0;5.84;1.03
18TL01003_002;STN27;47.5467;-52.5867;222157;49;21-apr-01;21:12:00;49.55;32.229;1;9.00191894312584;3;-0.929;1;1.13;1;1.03;1;3.33;1;0.57;1;3.01;1;16;5.84;1.11
18TL01003_002;STN27;47.5467;-52.5867;222156;74;21-apr-01;21:12:00;74.79;32.254;1;8.96791983878191;1;-1.064;1;1.66;1;1.54;1;3.34;1;0.68;1;3.13;1;0;4.91;1.07
18TL01003_002;STN27;47.5467;-52.5867;222155;98;21-apr-01;21:12:00;99.26;32.575;1;8.70692118226601;1;-1.048;1;1.28;1;1.18;1;4.2;1;0.73;1;3.97;1;0;5.75;1.06
