CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL05035_747;151;47.58383;-59.34017;276514;1.59;15-jun-05;16:25:00;31.55;7.58;318.82774;7.145;0.825;1.493;0.04;1;NaN;9;0.235;1;NaN;9;0.365;1;NaN;9;0.82;1;NaN;9;256;0.64;0.29
18TL05035_747;151;47.58383;-59.34017;276513;5.75;15-jun-05;16:25:00;31.56;7.5;319.40832;NaN;0.565;1.863;0.025;1;NaN;9;0.315;1;NaN;9;0.365;1;NaN;9;1.02;1;NaN;9;0;0.86;0.31
18TL05035_747;151;47.58383;-59.34017;276512;15.27;15-jun-05;16:25:00;31.67;7.62;318.73842;NaN;0.55;2.378;0.035;1;NaN;9;0.23;1;NaN;9;0.395;1;NaN;9;1.15;1;NaN;9;0;0.58;0.20
18TL05035_747;151;47.58383;-59.34017;276511;25.29;15-jun-05;16:25:00;31.79;5.75;325.3481;NaN;0.295;1.935;0.065;1;NaN;9;0.775;1;NaN;9;0.46;1;NaN;9;1.27;1;NaN;9;0;1.68;0.61
18TL05035_747;151;47.58383;-59.34017;276510;50.27;15-jun-05;16:25:00;31.97;1.46;340.04124;NaN;0.13;1.408;0.125;1;NaN;9;3.22;1;NaN;9;0.69;1;NaN;9;3.4;1;NaN;9;0;4.67;0.95
18TL05035_747;151;47.58383;-59.34017;276509;100.43;15-jun-05;16:25:00;32.5;1.9;314.67436;NaN;0.035;0.931;0.155;1;NaN;9;5.06;1;NaN;9;0.84;1;NaN;9;4.62;1;NaN;9;0;6.02;1.10
18TL05035_747;151;47.58383;-59.34017;276508;199.32;15-jun-05;16:25:00;34.33;5.45;196.2807;NaN;NaN;1.062;0.075;1;NaN;9;17.71;1;NaN;9;1.34;1;NaN;9;16.445;1;NaN;9;0;13.22;1.08
18TL05035_747;151;47.58383;-59.34017;276507;248.65;15-jun-05;16:25:00;34.66;5.76;184.80308;4.085;NaN;1.186;0.075;1;NaN;9;17.695;1;NaN;9;1.395;1;NaN;9;16.685;1;NaN;9;256;12.68;1.06
18TL05035_748;161;47.43333;-59.5595;276524;1.88;15-jun-05;18:16:00;31.8;7.03;324.49956;7.285;0.355;1.288;0.015;1;NaN;9;0.11;1;NaN;9;0.365;1;NaN;9;0.59;1;NaN;9;256;0.30;0.19
18TL05035_748;161;47.43333;-59.5595;276523;5.06;15-jun-05;18:16:00;31.79;7.24;322.2219;NaN;0.325;1.404;0.015;1;NaN;9;0.11;1;NaN;9;0.35;1;NaN;9;0.64;1;NaN;9;0;0.31;0.17
18TL05035_748;161;47.43333;-59.5595;276522;15.87;15-jun-05;18:16:00;31.94;4.37;341.29172;NaN;0.31;1.35;0.02;1;NaN;9;0.245;1;NaN;9;0.37;1;NaN;9;0.565;1;NaN;9;0;0.66;0.43
18TL05035_748;161;47.43333;-59.5595;276521;25.88;15-jun-05;18:16:00;32.05;3.23;340.57716;NaN;0.41;1.611;0.04;1;NaN;9;0.73;1;NaN;9;0.495;1;NaN;9;1.085;1;NaN;9;0;1.47;0.67
18TL05035_748;161;47.43333;-59.5595;276520;49.78;15-jun-05;18:16:00;32.45;2.32;329.54614;NaN;0.135;1.363;0.05;1;NaN;9;1.435;1;NaN;9;0.65;1;NaN;9;1.035;1;NaN;9;0;2.21;1.39
18TL05035_748;161;47.43333;-59.5595;276519;100.63;15-jun-05;18:16:00;32.52;1.04;318.2025;NaN;0.02;0.775;0.08;1;NaN;9;4.835;1;NaN;9;0.865;1;NaN;9;3.335;1;NaN;9;0;5.59;1.45
18TL05035_748;161;47.43333;-59.5595;276518;200.42;15-jun-05;18:16:00;33.91;4.47;213.96606;NaN;NaN;0.771;0.02;1;NaN;9;16.035;1;NaN;9;1.29;1;NaN;9;13.255;1;NaN;9;0;12.43;1.21
18TL05035_748;161;47.43333;-59.5595;276517;300.65;15-jun-05;18:16:00;34.74;5.68;187.70598;NaN;NaN;0.742;0.015;1;NaN;9;20.56;1;NaN;9;1.46;1;NaN;9;18.255;1;NaN;9;0;14.08;1.13
18TL05035_748;161;47.43333;-59.5595;276516;400.93;15-jun-05;18:16:00;34.85;5;191.68072;NaN;NaN;0.737;0.005;1;NaN;9;20.395;1;NaN;9;1.505;1;NaN;9;25.51;1;NaN;9;0;13.55;0.80
18TL05035_748;161;47.43333;-59.5595;276515;461.3;15-jun-05;18:16:00;34.85;4.9;200.0768;4.515;NaN;0.735;0.02;1;NaN;9;20.23;1;NaN;9;1.445;1;NaN;9;25.17;1;NaN;9;256;14.00;0.80
18TL05035_749;171;47.27183;-59.78283;276534;1.79;15-jun-05;20:29:00;31.09;7.12;325.08014;7.29;0.56;1.438;0.025;1;NaN;9;0.35;1;NaN;9;0.45;1;NaN;9;1.315;1;NaN;9;256;0.78;0.27
18TL05035_749;171;47.27183;-59.78283;276533;6.05;15-jun-05;20:29:00;31.4;7.2;320.92676;NaN;0.475;1.522;0.015;1;NaN;9;0.205;1;NaN;9;0.35;1;NaN;9;1.075;1;NaN;9;0;0.59;0.19
18TL05035_749;171;47.27183;-59.78283;276532;16.46;15-jun-05;20:29:00;31.37;3.64;342.45288;NaN;0.74;1.797;0.045;1;NaN;9;1.04;1;NaN;9;0.485;1;NaN;9;1.77;1;NaN;9;0;2.14;0.59
18TL05035_749;171;47.27183;-59.78283;276531;25.98;15-jun-05;20:29:00;31.98;5.43;333.29758;NaN;0.66;1.781;0.015;1;NaN;9;0.15;1;NaN;9;0.38;1;NaN;9;0.78;1;NaN;9;0;0.39;0.19
18TL05035_749;171;47.27183;-59.78283;276530;51.36;15-jun-05;20:29:00;32.12;2.13;334.32476;NaN;0.255;1.196;0.07;1;NaN;9;1.47;1;NaN;9;0.585;1;NaN;9;1.08;1;NaN;9;0;2.51;1.36
18TL05035_749;171;47.27183;-59.78283;276529;101.42;15-jun-05;20:29:00;32.8;1.94;302.7948;NaN;0.025;0.696;0.125;1;NaN;9;6.575;1;NaN;9;0.88;1;NaN;9;5.19;1;NaN;9;0;7.47;1.27
18TL05035_749;171;47.27183;-59.78283;276528;200.22;15-jun-05;20:29:00;34.26;5.02;165.37598;NaN;NaN;0.65;0.035;1;NaN;9;19.225;1;NaN;9;1.495;1;NaN;9;20.22;1;NaN;9;0;12.86;0.95
18TL05035_749;171;47.27183;-59.78283;276527;299.76;15-jun-05;20:29:00;34.75;5.65;189.00112;NaN;NaN;0.609;0.01;1;NaN;9;20.315;1;NaN;9;1.415;1;NaN;9;17.585;1;NaN;9;0;14.36;1.16
18TL05035_749;171;47.27183;-59.78283;276526;400.54;15-jun-05;20:29:00;34.85;5.01;190.43024;NaN;NaN;0.607;0.01;1;NaN;9;20.57;1;NaN;9;1.545;1;NaN;9;24.125;1;NaN;9;0;13.31;0.85
18TL05035_749;171;47.27183;-59.78283;276525;453.29;15-jun-05;20:29:00;34.85;4.96;192.75256;4.29;NaN;0.621;0.01;1;NaN;9;20.2;1;NaN;9;1.52;1;NaN;9;25.425;1;NaN;9;256;13.29;0.79
