CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL05045_782;11;47.53433;-60.02233;218703;0.89;31-jul-05;19:24:00;31.07;15.65;275.06094;5.97;1.286;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_782;11;47.53433;-60.02233;218702;250.64;31-jul-05;19:24:00;34.65;5.95;173.23614;3.785;0.27;0.08;1;17.535;1;1.395;1;14.22;1;256;12.57;1.23
18TL05045_782;11;47.53433;-60.02233;218701;489.59;31-jul-05;19:24:00;34.83;4.91;198.2904;4.395;0.365;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_783;21;47.6495;-60.36967;218706;1.98;31-jul-05;22:15:00;31.14;15.78;272.38134;5.935;1.445;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_783;21;47.6495;-60.36967;218705;251.03;31-jul-05;22:15:00;34.65;5.86;164.92938;3.62;0.263;0.05;1;17.01;1;1.395;1;15.405;1;256;12.19;1.10
18TL05045_783;21;47.6495;-60.36967;218704;419.53;31-jul-05;22:15:00;34.83;4.94;194.31566;4.32;0.316;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_792;31;47.664;-60.45167;218709;0.99;31-jul-05;23:05:00;31.05;15.83;271.57746;5.95;1.501;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_792;31;47.664;-60.45167;218708;250.93;31-jul-05;23:05:00;34.6;5.86;161.26726;3.56;0.285;0.04;1;21.475;1;1.595;1;18.67;1;256;13.46;1.15
18TL05045_792;31;47.664;-60.45167;218707;305;31-jul-05;23:05:00;34.8;5.27;174.174;3.865;0.288;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_800;41;47.72733;-60.25133;218712;0.99;01-aug-05;01:35:00;30.73;16.27;266.93282;5.915;1.443;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_800;41;47.72733;-60.25133;218711;250.53;01-aug-05;01:35:00;34.62;5.95;178.28272;3.95;0.272;0.14;1;18.48;1;1.45;1;14.715;1;256;12.74;1.26
18TL05045_800;41;47.72733;-60.25133;218710;460.39;01-aug-05;01:35:00;34.83;4.87;201.1933;4.5;0.314;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_801;51;47.79417;-60.655;218715;1.29;01-aug-05;05:08:00;31.07;15.65;271.13086;5.935;1.406;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_801;51;47.79417;-60.655;218713;191.59;01-aug-05;05:08:00;34.13;4.68;146.66344;3.245;0.389;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL05045_801;51;47.79417;-60.655;218714;191.69;01-aug-05;05:08:00;34.12;4.67;146.39548;NaN;0.389;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL05045_784;231;47.885;-59.72183;218762;1.09;03-aug-05;07:12:00;31.04;15.67;267.69204;6.675;1.918;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
