CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL09037_1020;391;47.58417;-59.34267;342300;1.78;12-jun-09;15:49:00;31.16;7.23;324.4549;8.68;7.3075;0.56;NaN;1.234;0.005;1;0.045;1;0.315;1;0;2;2304;0.14;NaN
18TL09037_1020;391;47.58417;-59.34267;342299;5.85;12-jun-09;15:49:00;31.16;7.23;324.36558;8.668;NaN;0.6;NaN;1.147;0.01;1;0.065;1;0.21;1;0;2;2048;0.31;NaN
18TL09037_1020;391;47.58417;-59.34267;342298;15.67;12-jun-09;15:49:00;31.21;6.92;327.49178;8.653;NaN;0.42;NaN;1.003;0.01;1;0.2;1;0.3;1;0;1;0;0.67;NaN
18TL09037_1020;391;47.58417;-59.34267;342297;25.98;12-jun-09;15:49:00;31.85;4.12;348.83926;8.661;NaN;0.19;NaN;0.513;0.01;1;0.145;1;0.3;1;0;1;0;0.48;NaN
18TL09037_1020;391;47.58417;-59.34267;342296;49.77;12-jun-09;15:49:00;32.13;1.83;351.20624;8.605;NaN;0.2;NaN;0.67;0.05;1;2.335;1;0.535;1;1.5;1;0;4.36;1.56
18TL09037_1020;391;47.58417;-59.34267;342295;101.52;12-jun-09;15:49:00;32.69;1.13;322.08792;8.564;NaN;0.05;NaN;0.295;0.07;1;5.055;1;0.65;2;3.365;1;2048;7.78;1.50
18TL09037_1020;391;47.58417;-59.34267;342294;197.54;12-jun-09;15:49:00;34.12;4.8;215.35052;8.5;NaN;NaN;NaN;0.253;0.035;1;10.87;1;1.005;1;9.525;1;0;10.82;1.14
18TL09037_1020;391;47.58417;-59.34267;342293;243.01;12-jun-09;15:49:00;34.47;5.43;195.34284;8.486;4.3915;NaN;NaN;0.248;0.09;1;12.84;1;1.05;1;10.665;1;256;12.23;1.20
18TL09037_1021;401;47.4335;-59.55917;342310;1.78;12-jun-09;18:45:00;31.16;7.25;325.08014;8.672;7.3195;1.25;NaN;1.705;0.005;1;0.045;1;0.28;1;0.015;1;256;0.16;3.00
18TL09037_1021;401;47.4335;-59.55917;342309;5.35;12-jun-09;18:45:00;31.18;7.25;324.05296;8.657;NaN;0.84;NaN;1.67;0.01;1;0.075;1;0.25;1;0.005;1;0;0.30;15.00
18TL09037_1021;401;47.4335;-59.55917;342308;15.97;12-jun-09;18:45:00;31.65;4.38;359.37902;8.652;NaN;0.5;NaN;0.875;0.03;1;0.115;1;0.335;1;0;1;0;0.34;NaN
18TL09037_1021;401;47.4335;-59.55917;342307;25.09;12-jun-09;18:45:00;31.84;2.11;363.13046;8.624;NaN;0.19;NaN;0.568;0.03;1;1.165;1;0.43;1;0.49;1;0;2.71;2.38
18TL09037_1021;401;47.4335;-59.55917;342306;49.87;12-jun-09;18:45:00;32.26;-0.08;341.73832;8.541;NaN;0.13;NaN;0.487;0.09;1;5.955;1;0.78;1;4.08;1;0;7.63;1.46
18TL09037_1021;401;47.4335;-59.55917;342305;99.74;12-jun-09;18:45:00;33.09;1.3;257.50956;8.44;NaN;0.01;NaN;0.292;0.025;1;8.095;1;0.895;1;10.38;1;0;9.04;0.78
18TL09037_1021;401;47.4335;-59.55917;342304;200.02;12-jun-09;18:45:00;34.25;4.79;162.87502;8.381;NaN;NaN;NaN;0.26;0.01;1;19.105;1;1.44;1;21.02;1;0;13.27;0.91
18TL09037_1021;401;47.4335;-59.55917;342303;299.26;12-jun-09;18:45:00;34.67;5.39;148.2712;8.383;NaN;NaN;NaN;0.253;0.005;1;17.89;1;1.43;1;20.3;1;0;12.51;0.88
18TL09037_1021;401;47.4335;-59.55917;342302;409.15;12-jun-09;18:45:00;34.84;5.07;176.94292;8.438;NaN;NaN;NaN;0.247;0.01;1;21.85;1;1.39;1;25.715;1;0;15.72;0.85
18TL09037_1021;401;47.4335;-59.55917;342301;461.99;12-jun-09;18:45:00;34.84;5.04;177.56816;8.437;4.0275;NaN;NaN;0.253;0.005;1;16.09;1;1.225;1;22.57667;1;256;13.13;0.71
18TL09037_1022;411;47.27183;-59.7835;342319;1.09;12-jun-09;21:24:00;30.61;8.07;318.55978;8.677;7.2355;1.73;NaN;2.499;0.005;1;0.045;1;0.275;1;0.45;1;256;0.16;0.10
18TL09037_1022;411;47.27183;-59.7835;342318;6.25;12-jun-09;21:24:00;30.62;8.04;318.29182;8.645;NaN;2.37;NaN;2.555;0.01;1;0.07;1;0.275;1;0.395;1;0;0.25;0.18
18TL09037_1022;411;47.27183;-59.7835;342317;16.46;12-jun-09;21:24:00;31.58;3.24;368.40034;8.642;NaN;0.6;NaN;1.608;0.025;1;0.38;1;0.375;1;0.33;1;0;1.01;1.15
18TL09037_1022;411;47.27183;-59.7835;342316;51.16;12-jun-09;21:24:00;32.13;-0.09;347.72276;8.547;NaN;0.42;NaN;0.628;0.115;1;6.155;1;0.845;1;5.51;1;0;7.28;1.12
18TL09037_1022;411;47.27183;-59.7835;342315;102.02;12-jun-09;21:24:00;33.12;1.38;254.65132;8.428;NaN;0.03;NaN;0.294;0.03;1;13.4;1;1.18;1;13.2;1;0;11.36;1.02
18TL09037_1022;411;47.27183;-59.7835;342314;206.86;12-jun-09;21:24:00;34.15;4.48;165.86724;8.361;NaN;NaN;NaN;0.27;0.015;1;19.795;1;1.525;1;22.425;1;0;12.98;0.88
18TL09037_1022;411;47.27183;-59.7835;342313;303.13;12-jun-09;21:24:00;34.58;5.33;157.02456;8.384;NaN;NaN;NaN;0.248;0.025;1;21.525;1;1.525;1;21.63;1;0;14.11;1.00
18TL09037_1022;411;47.27183;-59.7835;342312;399.45;12-jun-09;21:24:00;34.82;5.12;172.47692;8.416;NaN;NaN;NaN;0.252;0;1;19.985;1;1.47;1;23;1;0;13.60;0.87
18TL09037_1022;411;47.27183;-59.7835;342311;434.98;12-jun-09;21:24:00;34.84;5.06;175.15652;8.422;3.9855;NaN;NaN;0.256;0.01;1;21.415;1;1.505;1;27.67;1;256;14.23;0.77
18TL09037_1023;421;47.10033;-59.992;342329;1.98;13-jun-09;00:09:00;30.16;8.42;314.6297;8.681;7.0905;NaN;0.845;1.767;0.005;1;0.075;1;0.21;1;0;1;256;0.36;NaN
18TL09037_1023;421;47.10033;-59.992;342328;6.64;13-jun-09;00:09:00;30.15;8.43;314.36174;8.656;NaN;0.57;NaN;1.765;0.005;1;0.085;1;0.24;1;0;1;0;0.35;NaN
18TL09037_1023;421;47.10033;-59.992;342327;16.36;13-jun-09;00:09:00;30.55;4.79;343.882;8.647;NaN;0.36;NaN;1.084;0.02;1;0.28;1;0.3;1;0.135;1;0;0.93;2.07
18TL09037_1023;421;47.10033;-59.992;342326;26.38;13-jun-09;00:09:00;31.01;3.85;356.92272;8.643;NaN;0.42;NaN;1.151;0.025;1;0.3;1;0.375;1;0.045;1;0;0.80;6.67
18TL09037_1023;421;47.10033;-59.992;342325;50.67;13-jun-09;00:09:00;31.89;1.45;356.11884;8.584;NaN;0.84;NaN;1.225;0.07;1;2.965;1;0.61;1;2.765;1;0;4.86;1.07
18TL09037_1023;421;47.10033;-59.992;342324;99.74;13-jun-09;00:09:00;32.75;0.86;292.9696;8.479;NaN;0.16;NaN;0.357;0.115;1;10.415;1;0.98;1;10.475;1;0;10.63;0.99
18TL09037_1023;421;47.10033;-59.992;342323;194.18;13-jun-09;00:09:00;34.16;4.55;169.52936;8.378;NaN;NaN;NaN;0.28;0.015;1;19.39;1;1.305;1;21.245;1;0;14.86;0.91
18TL09037_1023;421;47.10033;-59.992;342322;291.35;13-jun-09;00:09:00;34.6;5.32;156.7566;8.395;NaN;NaN;NaN;0.276;0.02;1;20.7;1;1.325;1;24.56;1;0;15.62;0.84
18TL09037_1023;421;47.10033;-59.992;342321;313.23;13-jun-09;00:09:00;34.62;5.29;162.07114;8.412;3.6795;NaN;NaN;0.276;0.04;1;21.775;1;1.435;1;21.98;1;256;15.17;0.99
18TL09037_1024;431;47.02367;-60.116;342336;2.08;13-jun-09;01:56:00;30.19;8.3;318.33648;8.683;7.129;NaN;1.17;1.957;0.01;1;0.1;1;0.255;1;0.05;1;256;0.39;2.00
18TL09037_1024;431;47.02367;-60.116;342335;6.45;13-jun-09;01:56:00;30.2;8.27;318.15784;8.661;NaN;NaN;1.2;1.975;0.015;1;0.105;1;0.225;1;0;1;0;0.47;NaN
