CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL16003_002;1;42.2545;-65.54954;429216;6.1;10-mar-16;17:28:00;6.107;32.0915;4.6886;7.2634;1.37997;1;NaN;9;6.3035;1;0.17;1;3.75;1;0.56467;1;3.13333;1;0;6.64;1.20
18TL16003_002;1;42.25444;-65.55006;429215;25.46;10-mar-16;17:27:00;25.469;32.762;6.0795;6.7413;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL16003_002;1;42.2544;-65.5506;429214;49.75;10-mar-16;17:26:00;49.751;34.6484;10.9044;5.6337;0.75898;1;NaN;9;NaN;9;0.23667;1;7.7;1;0.57733;1;3.57667;1;0;13.34;2.15
18TL16003_002;1;42.25416;-65.55168;429213;109.83;10-mar-16;17:23:00;109.832;34.9493;11.6334;5.3675;0.77048;1;34.947;1;5.6;1;0.23667;1;8.72667;1;0.62067;2;3.89667;2;2048;14.06;2.24
18TL16003_113;2;42.43045;-65.33574;429220;5.39;10-mar-16;19:44:00;5.392;31.9258;4.1773;7.3119;1.78247;1;NaN;9;6.7965;1;0.16;1;4.08667;1;0.54;1;2.54;2;2048;7.57;1.61
18TL16003_113;2;42.43092;-65.33626;429219;24.53;10-mar-16;19:43:00;24.531;31.9432;4.1383;7.2333;1.31097;1;NaN;9;NaN;9;0.16333;1;3.90333;1;0.53733;1;2.47667;2;2048;7.26;1.58
18TL16003_113;2;42.43157;-65.33698;429218;50.84;10-mar-16;19:42:00;50.848;32.2987;4.7453;6.8975;1.85146;1;NaN;9;NaN;9;0.17;1;4.08667;1;0.53267;1;2.28333;1;0;7.67;1.79
18TL16003_113;2;42.43276;-65.33844;429217;107.06;10-mar-16;19:39:00;107.066;33.1198;6.6244;5.3562;0.41399;1;33.12;1;5.0585;1;0.13;1;11.2;1;0.902;1;8.07333;1;0;12.42;1.39
