CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL16037_1551;641;47.949;-60.18233;419111;2.48;13-aug-16;10:02:00;30.75;17.94;247.01446;NaN;0.495;0.502;0.015;1;0.04;1;0.11;1;0.495;1;0;0.36;0.08
18TL16037_1551;641;47.949;-60.18233;419110;17.75;13-aug-16;10:02:00;30.96;14.2;281.26868;6.351;1.015;1.244;0.00667;1;0.07;1;0.17;1;0.44;1;256;0.41;0.16
18TL16037_1551;641;47.949;-60.18233;419109;37.08;13-aug-16;10:02:00;31.64;3.22;356.34214;NaN;0.805;0.839;0.03;1;0.17;1;0.465;1;0.625;1;0;0.37;0.27
18TL16037_1551;641;47.949;-60.18233;419108;51.95;13-aug-16;10:02:00;31.88;0.9;346.29364;7.6895;0.385;0.403;0.2;1;2.27;1;0.68;1;1.685;1;256;3.34;1.35
18TL16037_1551;641;47.949;-60.18233;419107;250.33;13-aug-16;10:02:00;34.75;7.48;150.54886;3.3945;NaN;0.043;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1551;641;47.949;-60.18233;419106;473.84;13-aug-16;10:02:00;34.93;5.83;153.98768;3.4865;NaN;0.039;0.01;1;22.58;1;1.76;1;33.825;1;256;12.83;0.67
18TL16037_1552;661;47.96283;-59.87633;419115;17.15;13-aug-16;15:08:00;31.04;13.73;281.09004;6.3915;NaN;1.103;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1552;661;47.96283;-59.87633;419114;52.05;13-aug-16;15:08:00;31.99;0.8;347.27616;7.7075;NaN;0.286;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1552;661;47.96283;-59.87633;419113;247.65;13-aug-16;15:08:00;34.67;6.99;146.12752;3.2665;NaN;0.064;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1552;661;47.96283;-59.87633;419112;473.44;13-aug-16;15:08:00;34.92;5.84;150.0576;3.394;NaN;0.038;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1553;681;47.82333;-59.59067;419124;17.06;13-aug-16;23:21:00;31.61;3.04;349.0179;7.735;NaN;1.046;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1553;681;47.82333;-59.59067;419123;51.66;13-aug-16;23:21:00;32.23;2.02;328.251;7.276;NaN;0.226;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1553;681;47.82333;-59.59067;419122;249.64;13-aug-16;23:21:00;34.88;7.7;147.86926;3.337;NaN;0.056;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1553;681;47.82333;-59.59067;419121;337.37;13-aug-16;23:21:00;34.92;6.55;148.31586;3.362;NaN;0.014;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1554;701;47.66117;-59.876;419125;4.26;14-aug-16;04:25:00;31.05;16.29;258.04548;NaN;0.41;0.647;0.005;1;0.035;1;0.15;1;0.66667;1;0;0.23;0.05
18TL16037_1554;701;47.66117;-59.876;419120;12.2;14-aug-16;04:25:00;31.24;9.86;336.0665;NaN;1.69;2.842;0.005;1;0.035;1;0.22;1;0.80667;1;0;0.16;0.04
18TL16037_1554;701;47.66117;-59.876;419119;16.36;14-aug-16;04:25:00;31.29;6.03;362.1926;8.111;1.15;1.699;0.02;1;0.05;1;0.31;1;1.175;1;256;0.16;0.04
18TL16037_1554;701;47.66117;-59.876;419118;50.96;14-aug-16;04:25:00;32.17;1.51;330.43934;7.3915;0.41;0.379;0.175;1;3.29;1;0.67;1;2.37;1;256;4.91;1.39
18TL16037_1554;701;47.66117;-59.876;419117;248.75;14-aug-16;04:25:00;34.67;6.75;136.07902;3.031;NaN;0.068;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1554;701;47.66117;-59.876;419116;510.46;14-aug-16;04:25:00;34.92;5.75;148.4945;3.355;NaN;0.036;0.025;1;22.625;1;1.795;1;37.14;2;2304;12.60;0.61
18TL16037_1555;711;47.52;-60.4295;419128;15.96;14-aug-16;09:08:00;30.82;8.39;329.23352;7.345;NaN;1.019;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1555;711;47.52;-60.4295;419127;50.77;14-aug-16;09:08:00;31.97;0.79;343.79268;7.5615;NaN;0.396;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1555;711;47.52;-60.4295;419126;249.15;14-aug-16;09:08:00;34.4;5.87;120.40336;2.7115;NaN;0.034;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1556;731;47.84683;-60.69283;419131;16.76;14-aug-16;14:03:00;30.79;17.33;253.04356;6.188;NaN;0.865;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1556;731;47.84683;-60.69283;419130;51.16;14-aug-16;14:03:00;32.03;0.74;350.22372;7.718;NaN;0.348;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL16037_1556;731;47.84683;-60.69283;419129;249.14;14-aug-16;14:03:00;34.4;5.84;117.36648;2.6275;NaN;0.044;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
