CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_01;FLOR;CHL_04;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL17008_1621;321;47.83617;-64.2475;421200;1.98;02-jun-17;16:22:00;27.61;7.71;330.75196;NaN;NaN;1.988;2.98;9;0.115;1;5.645;1;0.415;1;13.24;1;0;13.60;0.43
18TL17008_1621;321;47.83617;-64.2475;421199;4.96;02-jun-17;16:22:00;27.92;7.24;333.65486;7.5595;NaN;1.143;1.9;9;0.11;1;5.11333;1;0.42667;1;11.865;1;256;11.98;0.43
18TL17008_1621;321;47.83617;-64.2475;421198;15.27;02-jun-17;16:22:00;28.44;5.83;338.2995;NaN;NaN;0.426;0.56;9;0.115;1;5.5;1;0.495;1;10.635;1;0;11.11;0.52
18TL17008_1621;321;47.83617;-64.2475;421197;25.19;02-jun-17;16:22:00;29;5.48;338.47814;NaN;NaN;0.321;0.395;9;0.07;1;3.1;1;0.4;1;5.875;1;0;7.75;0.53
18TL17008_1621;321;47.83617;-64.2475;421196;37.18;02-jun-17;16:22:00;29.61;3.28;348.7946;7.807;NaN;0.275;0.325;9;0.045;1;2.24;1;0.345;1;4.045;1;256;6.49;0.55
18TL17008_1622;331;47.785;-64.03033;421206;2.08;02-jun-17;17:45:00;27.44;7.52;334.0568;NaN;NaN;1.021;2.485;9;0.11;1;5.62;1;0.405;1;13.575;1;0;13.88;0.41
18TL17008_1622;331;47.785;-64.03033;421205;5.16;02-jun-17;17:45:00;27.55;7.34;336.5131;7.1245;NaN;1.387;1.92;9;0.105;1;5.51;1;0.43;1;12.65;1;256;12.81;0.44
18TL17008_1622;331;47.785;-64.03033;421204;15.47;02-jun-17;17:45:00;28.39;5.72;337.67426;NaN;NaN;0.494;0.915;9;0.08;1;4.1;1;0.42;1;8.095;1;0;9.76;0.51
18TL17008_1622;331;47.785;-64.03033;421203;25.19;02-jun-17;17:45:00;29.23;6.15;339.28202;NaN;NaN;0.44;0.75;9;0.045;1;1.675;1;0.325;1;3.45;1;0;5.15;0.49
18TL17008_1622;331;47.785;-64.03033;421202;50.17;02-jun-17;17:45:00;30.83;-0.35;303.82198;6.811;NaN;0.217;0.215;9;0.14;1;8.445;1;1.165;1;12.425;1;256;7.25;0.68
18TL17008_1622;331;47.785;-64.03033;421201;76.84;02-jun-17;17:45:00;31.87;-0.01;282.6978;6.3265;NaN;0.122;0.14;9;0.13;1;11.145;1;1.28;1;19.665;1;256;8.71;0.57
18TL17008_1623;341;47.66617;-63.749;421212;1.98;02-jun-17;19:35:00;27.71;4.69;337.09368;NaN;NaN;0.852;1.13;9;0.145;1;7.51;1;0.615;1;14.075;1;0;12.21;0.53
18TL17008_1623;341;47.66617;-63.749;421211;5.65;02-jun-17;19:35:00;27.84;4.58;336.46844;7.5715;NaN;0.55;0.575;9;0.145;1;7.635;1;0.645;1;13.705;1;256;11.84;0.56
18TL17008_1623;341;47.66617;-63.749;421210;14.97;02-jun-17;19:35:00;28.47;3.57;339.99658;NaN;NaN;0.255;0.22;9;0.125;1;6.14;1;0.625;1;10.655;1;0;9.82;0.58
18TL17008_1623;341;47.66617;-63.749;421209;25.48;02-jun-17;19:35:00;29.61;3.58;344.37326;NaN;NaN;0.291;0.215;9;0.1;1;4.04;1;0.55;1;7.075;1;0;7.35;0.57
18TL17008_1623;341;47.66617;-63.749;421208;50.27;02-jun-17;19:35:00;30.53;-0.39;335.75388;7.392;NaN;0.195;0.185;9;0.14;1;6.19;1;0.95;1;4.23;1;256;6.52;1.46
