CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;FLOR;CHL_04;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL17027_1640;601;47.98983;-59.68867;421878;14.28;12-aug-17;07:18:00;30.28;16.98;249.11348;5.6845;0.591;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1640;601;47.98983;-59.68867;421877;50.17;12-aug-17;07:18:00;31.58;1.81;355.31496;7.8365;0.334;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1640;601;47.98983;-59.68867;421876;250.13;12-aug-17;07:18:00;34.74;6.94;138.49066;3.142;0.035;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1640;601;47.98983;-59.68867;421875;345.48;12-aug-17;07:18:00;34.93;6.44;147.46732;3.348;0.032;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1641;621;47.67433;-59.86817;421889;2.58;12-aug-17;12:20:00;29.77;17.83;251.25716;NaN;0.364;0.5;1;0.01;1;0.12;1;0.075;2;1.03;1;2048;1.60;0.12
18TL17027_1641;621;47.67433;-59.86817;421888;15.27;12-aug-17;12:20:00;31.45;6.6;333.56554;7.459;0.993;0.93;1;0.01;1;0.13;1;0.345;1;1.245;1;256;0.38;0.10
18TL17027_1641;621;47.67433;-59.86817;421887;25.09;12-aug-17;12:20:00;31.64;3.31;343.30142;NaN;0.889;0.91;1;0.135;1;1.065;1;0.47;1;1.235;1;0;2.27;0.86
18TL17027_1641;621;47.67433;-59.86817;421886;50.96;12-aug-17;12:20:00;32.11;1.29;338.79076;7.504;0.171;0.22;1;0.18;1;3.33;1;0.68;1;2.06;1;256;4.90;1.62
18TL17027_1641;621;47.67433;-59.86817;421885;100.43;12-aug-17;12:20:00;32.61;1.26;312.35204;NaN;0.049;0.025;1;0.015;1;8.805;2;0.95;1;7.165;1;2048;9.27;1.23
18TL17027_1641;621;47.67433;-59.86817;421884;150.08;12-aug-17;12:20:00;33.79;4.85;217.0476;NaN;0.039;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1641;621;47.67433;-59.86817;421883;200.21;12-aug-17;12:20:00;34.6;7.47;169.84198;NaN;0.031;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1641;621;47.67433;-59.86817;421882;250.33;12-aug-17;12:20:00;34.78;7.29;136.8829;3.0835;0.032;NaN;9;0.01;1;22.635;1;1.65;1;22.78;1;256;13.72;0.99
18TL17027_1641;621;47.67433;-59.86817;421881;301.34;12-aug-17;12:20:00;34.83;6.67;126.52178;NaN;0.045;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1641;621;47.67433;-59.86817;421880;349.16;12-aug-17;12:20:00;34.93;6.39;147.6013;NaN;0.033;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1641;621;47.67433;-59.86817;421879;518.57;12-aug-17;12:20:00;34.97;5.86;164.92938;3.722;0.049;NaN;9;0.01;1;22.43;1;1.76;1;30.51;1;256;12.74;0.74
18TL17027_1642;641;47.86583;-59.87633;421893;15.87;12-aug-17;15:38:00;30.35;16.89;256.21442;5.823;0.89;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1642;641;47.86583;-59.87633;421892;52.95;12-aug-17;15:38:00;31.8;0.89;345.40044;7.68;0.192;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1642;641;47.86583;-59.87633;421891;248.84;12-aug-17;15:38:00;34.6;6.54;121.74316;2.7095;0.043;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1642;641;47.86583;-59.87633;421890;494.42;12-aug-17;15:38:00;34.97;5.89;167.83228;3.7525;0.035;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1643;661;47.86867;-60.2235;421897;14.97;12-aug-17;22:50:00;30.69;15.96;257.77752;5.9125;0.958;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1643;661;47.86867;-60.2235;421896;54.53;12-aug-17;22:50:00;32.05;1.52;344.3286;7.6125;0.144;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1643;661;47.86867;-60.2235;421895;251.82;12-aug-17;22:50:00;34.72;6.91;130.54118;3.0355;0.036;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1643;661;47.86867;-60.2235;421894;488.39;12-aug-17;22:50:00;34.96;5.88;161.35658;3.6725;0.042;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1644;701;47.78767;-60.64033;421900;15.67;13-aug-17;10:59:00;30.82;8.82;315.5229;7.083;1.019;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1644;701;47.78767;-60.64033;421899;51.26;13-aug-17;10:59:00;31.72;0.84;314.22776;6.7495;0.17;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1644;701;47.78767;-60.64033;421898;215.76;13-aug-17;10:59:00;34.44;6.22;122.18976;2.7165;0.046;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL17027_1645;711;47.927;-60.51733;421911;2.78;13-aug-17;13:50:00;29.81;18.18;245.00476;NaN;0.424;0.49;1;0.01;1;0.09;1;0.045;1;0.945;1;0;2.00;0.10
18TL17027_1645;711;47.927;-60.51733;421910;14.97;13-aug-17;13:50:00;31.22;8.49;324.18694;7.295;0.967;1.06;1;0.01;1;0.08;1;0.245;1;0.93;1;256;0.33;0.09
18TL17027_1645;711;47.927;-60.51733;421909;24.89;13-aug-17;13:50:00;31.77;5.13;345.71306;NaN;1.26;1.16;1;0.04;1;0.31;1;0.365;1;1.09;1;0;0.85;0.28
18TL17027_1645;711;47.927;-60.51733;421908;51.46;13-aug-17;13:50:00;32.08;1.85;346.82956;7.6725;0.187;0.205;1;0.145;1;2.125;1;0.58;1;1.605;1;256;3.66;1.32
18TL17027_1645;711;47.927;-60.51733;421907;99.73;13-aug-17;13:50:00;32.49;1.14;324.63354;NaN;0.048;0.04;1;0.135;1;7.395;1;0.875;1;5.285;1;0;8.45;1.40
18TL17027_1645;711;47.927;-60.51733;421906;149.88;13-aug-17;13:50:00;33.39;3.43;234.55432;NaN;0.047;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1645;711;47.927;-60.51733;421905;200.41;13-aug-17;13:50:00;34.26;5.9;148.13722;NaN;0.05;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1645;711;47.927;-60.51733;421904;249.83;13-aug-17;13:50:00;34.69;6.83;124.78004;2.8;0.038;NaN;9;0.01;1;23.11;1;1.745;1;27.025;1;256;13.24;0.86
18TL17027_1645;711;47.927;-60.51733;421903;300.54;13-aug-17;13:50:00;34.89;6.91;138.6693;NaN;0.035;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1645;711;47.927;-60.51733;421902;350.93;13-aug-17;13:50:00;34.93;6.28;147.91392;NaN;0.038;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL17027_1645;711;47.927;-60.51733;421901;440;13-aug-17;13:50:00;34.96;5.91;161.04396;3.6185;0.039;NaN;9;0.01;1;22.585;1;1.765;1;30.725;1;256;12.80;0.74
