CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18VA17667_002;HL_0;44.6937;-63.6403;434818;1.81;04-jan-17;13:11:00;28.9562;4.2183;6.7929;7.873;1.2718;1;NaN;9;NaN;9;0.38;1;8.26333;1;0.95767;1;11.12667;1;0;8.63;0.74
18VA17667_002;HL_0;44.6937;-63.6403;434817;5.26;04-jan-17;13:11:00;29.0243;4.2605;6.771;7.873;1.09638;1;NaN;9;NaN;9;0.36667;1;8.32667;1;0.95367;1;10.98333;1;0;8.73;0.76
18VA17667_002;HL_0;44.6937;-63.6403;434816;10.31;04-jan-17;13:11:00;29.2714;4.4123;6.6556;7.865;1.09638;1;NaN;9;NaN;9;0.35333;1;8.34;1;0.955;1;10.78333;1;0;8.73;0.77
18VA17667_002;HL_0;44.6937;-63.6403;434815;60.53;04-jan-17;13:13:00;31.1201;5.401;1.3529;7.572;0.05825;1;31.333;7;NaN;9;0.15667;1;21.31333;1;3.22;2;40.40333;2;2304;6.62;0.53
18VA17667_113;HL_0;44.6937;-63.6403;434822;1.95;11-jan-17;13:19:00;29.3364;3.2503;6.9276;7.886;0.89903;1;NaN;9;NaN;9;0.4;1;7.96;1;0.926;1;10.66;1;0;8.60;0.75
18VA17667_113;HL_0;44.6937;-63.6403;434821;5.71;11-jan-17;13:19:00;29.3524;3.2695;6.9096;7.891;0.92096;1;NaN;9;NaN;9;0.39333;1;7.95333;1;0.92833;1;10.63;1;0;8.57;0.75
18VA17667_113;HL_0;44.6937;-63.6403;434820;10.61;11-jan-17;13:19:00;29.5427;3.4907;6.8067;7.888;0.70168;1;NaN;9;NaN;9;0.37667;1;8.12;1;0.96067;1;10.56;1;0;8.45;0.77
18VA17667_113;HL_0;44.6937;-63.6403;434819;60.73;11-jan-17;13:21:00;31.0988;5.3999;1.5039;7.642;0.05582;1;31.312;7;NaN;9;0.1;1;21.19333;1;3.32667;2;42.89667;2;2304;6.37;0.49
18VA17667_225;HL_0;44.6937;-63.6403;434826;1.59;18-jan-17;13:20:00;28.8188;2.0131;7.3267;7.876;0.57012;1;NaN;9;NaN;9;0.42;1;8.1;1;0.9105;1;11.6;1;0;8.90;0.70
18VA17667_225;HL_0;44.6937;-63.6403;434825;5.12;18-jan-17;13:20:00;29.4157;3.28;6.9333;7.872;0.78939;1;NaN;9;7.176;1;0.395;1;7.885;1;0.933;1;10.63;1;0;8.45;0.74
18VA17667_225;HL_0;44.6937;-63.6403;434824;10.17;18-jan-17;13:21:00;29.8865;3.7727;6.6381;7.878;0.32279;1;NaN;9;NaN;9;0.37;1;7.695;1;0.9545;1;9.91;1;0;8.06;0.78
18VA17667_225;HL_0;44.6937;-63.6403;434823;60.85;18-jan-17;13:24:00;31.0885;5.394;1.496;7.696;0.07766;1;31.229;1;1.79;1;0.07;1;19.62;1;2.9945;2;40.525;2;2048;6.55;0.48
