CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
32EV17606_264;HL_01;44.39181;-63.4384;444612;2.59;24-nov-17;23:30:00;2.598;30.79;9.5499;6.1522;8.137;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_264;HL_01;44.39188;-63.43844;444611;2.8;24-nov-17;23:30:00;2.806;30.7866;9.5541;6.1633;8.132;1.12567;1;30.85;1;NaN;9;0.075;1;1.585;1;0.3885;1;2.21;1;0;4.08;0.72
32EV17606_264;HL_01;44.39174;-63.43835;444613;2.98;24-nov-17;23:30:00;2.985;30.7893;9.5478;6.1514;8.137;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_264;HL_01;44.39216;-63.43872;444610;9.77;24-nov-17;23:29:00;9.77;30.8077;9.5317;6.1476;8.118;1.15783;1;NaN;9;NaN;9;0.08;1;1.895;1;0.376;1;2.31;1;0;5.04;0.82
32EV17606_264;HL_01;44.39237;-63.43909;444609;19.82;24-nov-17;23:27:00;19.825;31.2057;8.7778;5.9353;8.067;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_264;HL_01;44.39242;-63.43918;444608;20.09;24-nov-17;23:27:00;20.09;31.2168;8.7851;5.9114;8.063;0.51459;1;NaN;9;NaN;9;0.09;1;3.695;1;0.539;1;3.7;1;0;6.86;1.00
32EV17606_264;HL_01;44.39255;-63.43957;444607;30.22;24-nov-17;23:25:00;30.224;31.9446;6.9066;5.7834;8.012;0.11328;1;NaN;9;NaN;9;0.045;1;5.595;1;0.724;1;5.365;1;0;7.73;1.04
32EV17606_264;HL_01;44.39282;-63.44;444606;40.17;24-nov-17;23:23:00;40.171;32.1488;5.8992;5.7852;8;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_264;HL_01;44.39286;-63.44006;444605;40.26;24-nov-17;23:23:00;40.263;32.1499;5.8976;5.7873;7.998;0.05911;1;NaN;9;NaN;9;0.04;1;6.075;1;0.7775;1;5.98;1;0;7.81;1.02
32EV17606_264;HL_01;44.39326;-63.44018;444604;49.89;24-nov-17;23:21:00;49.893;32.308;5.4325;5.755;7.989;0.06074;1;NaN;9;NaN;9;0.04;1;6.04;1;0.786;1;6.07;1;0;7.68;1.00
32EV17606_264;HL_01;44.39341;-63.44008;444602;60.09;24-nov-17;23:19:00;60.096;32.4442;5.2175;5.6973;7.985;0.03776;1;NaN;9;NaN;9;0.055;1;7.52;1;0.9085;1;7.695;1;0;8.28;0.98
32EV17606_264;HL_01;44.39338;-63.4401;444603;60.26;24-nov-17;23:19:00;60.265;32.4442;5.2177;5.7022;7.985;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_264;HL_01;44.39348;-63.4402;444601;100.37;24-nov-17;23:16:00;100.373;33.1025;5.4676;5.1342;7.973;0.01806;1;33.104;1;5.423;1;0.055;1;9.875;1;1.0185;1;10.54;1;0;9.70;0.94
32EV17606_315;HL_02;44.26254;-63.30088;444633;2.29;25-nov-17;03:09:00;2.296;30.4528;10.8657;6.0909;8.186;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26253;-63.30075;444634;2.47;25-nov-17;03:09:00;2.476;30.4526;10.8673;6.0789;8.186;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.2626;-63.30107;444632;2.73;25-nov-17;03:08:00;2.731;30.4528;10.8663;6.0858;8.186;1.2704;1;30.47;1;6.3;1;0.025;1;0;2;0.2235;1;1.1;1;2048;0.00;0.00
32EV17606_315;HL_02;44.2625;-63.3006;444635;2.78;25-nov-17;03:10:00;2.789;30.4522;10.8672;6.0737;8.186;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26246;-63.30051;444636;2.8;25-nov-17;03:10:00;2.8;30.4524;10.8658;6.0828;8.187;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26274;-63.30171;444631;9.98;25-nov-17;03:06:00;9.982;30.455;10.8815;6.0694;8.181;1.20607;1;NaN;9;NaN;9;0.025;1;0;2;0.2255;1;1.145;1;2048;0.00;0.00
32EV17606_315;HL_02;44.26289;-63.30244;444630;19.55;25-nov-17;03:04:00;19.554;30.6526;10.9084;5.9663;8.164;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26294;-63.3026;444629;19.65;25-nov-17;03:04:00;19.652;30.6496;10.9089;5.9647;8.158;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26298;-63.30276;444628;20.06;25-nov-17;03:03:00;20.064;30.6672;10.9072;5.9758;8.153;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26302;-63.30288;444627;20.44;25-nov-17;03:03:00;20.44;30.73;10.896;5.9662;8.148;1.18999;1;NaN;9;NaN;9;0.07;1;0.835;1;0.2735;1;1.405;1;0;3.05;0.59
32EV17606_315;HL_02;44.26322;-63.30356;444626;29.92;25-nov-17;03:01:00;29.921;31.4115;8.7295;5.8695;8.07;0.23892;1;NaN;9;NaN;9;0.05;1;3.405;1;0.489;1;3.305;1;0;6.96;1.03
32EV17606_315;HL_02;44.26342;-63.30433;444625;41.24;25-nov-17;02:58:00;41.244;32.1033;6.2258;5.7915;8.016;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26359;-63.3049;444622;41.37;25-nov-17;02:57:00;41.37;32.1046;6.1417;5.7961;8.007;0.06075;1;32.237;1;6.0275;1;0.03;1;6.155;1;0.7685;1;6.03;1;0;8.01;1.02
32EV17606_315;HL_02;44.2635;-63.30456;444624;41.4;25-nov-17;02:58:00;41.401;32.1063;6.2241;5.7911;8.015;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26354;-63.30469;444623;41.55;25-nov-17;02:57:00;41.552;32.1049;6.191;5.7989;8.008;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26372;-63.30557;444621;50.45;25-nov-17;02:55:00;50.456;32.1589;5.6629;5.791;7.993;0.04925;1;NaN;9;NaN;9;0.025;1;5.71;1;0.757;1;5.78;1;0;7.54;0.99
32EV17606_315;HL_02;44.26387;-63.3062;444620;60.71;25-nov-17;02:53:00;60.719;32.479;4.5777;5.7784;7.986;0.03119;1;NaN;9;NaN;9;0.015;1;7.615;1;0.896;1;8.055;1;0;8.50;0.95
32EV17606_315;HL_02;44.26425;-63.30752;444616;81.04;25-nov-17;02:49:00;81.043;32.9298;4.9997;5.5914;7.995;0.0197;1;NaN;9;NaN;9;0.015;1;8.34;1;0.9165;1;8.725;1;0;9.10;0.96
32EV17606_315;HL_02;44.26417;-63.30722;444618;81.05;25-nov-17;02:50:00;81.056;32.9408;5.0381;5.5785;7.992;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26422;-63.30735;444617;81.49;25-nov-17;02:49:00;81.49;32.9493;5.0662;5.5885;7.995;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26412;-63.30707;444619;81.61;25-nov-17;02:50:00;81.619;32.9448;5.0544;5.5882;7.991;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_315;HL_02;44.26444;-63.30818;444615;101;25-nov-17;02:46:00;101.004;33.6077;7.0837;4.8924;7.995;0.01478;1;NaN;9;NaN;9;0.005;1;10.305;1;0.9585;1;9.35;1;0;10.75;1.10
32EV17606_315;HL_02;44.26478;-63.30922;444614;150.99;25-nov-17;02:43:00;150.997;34.2631;8.6643;3.8863;7.978;0.00656;1;34.3;1;4.1;1;0.02;1;14.285;1;1.181;1;13.685;1;0;12.10;1.04
32EV17606_339;HL_03;43.89145;-62.87818;444648;3.26;25-nov-17;07:43:00;3.263;30.5535;11.1904;6.0229;8.189;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_339;HL_03;43.89132;-62.87826;444647;3.39;25-nov-17;07:43:00;3.395;30.5535;11.1905;6.0272;8.189;1.06134;1;30.573;1;6.3;1;0.03;1;0;2;0.214;1;1.125;1;2048;0.00;0.00
32EV17606_339;HL_03;43.89096;-62.87842;444646;10.06;25-nov-17;07:41:00;10.065;30.5548;11.1907;6.0128;8.188;1.06134;1;NaN;9;NaN;9;0.035;1;0;2;0.204;1;1.155;1;2048;0.00;0.00
32EV17606_339;HL_03;43.89052;-62.87862;444645;20.49;25-nov-17;07:40:00;20.498;30.5603;11.2068;6.0225;8.186;1.10959;1;NaN;9;NaN;9;0.03;1;0;2;0.2105;1;1.145;1;2048;0.00;0.00
32EV17606_339;HL_03;43.89009;-62.87881;444644;30.45;25-nov-17;07:38:00;30.456;30.606;11.2449;6.0187;8.179;1.10959;1;NaN;9;NaN;9;0.025;1;0;2;0.204;1;1.15;1;2048;0.00;0.00
32EV17606_339;HL_03;43.8897;-62.879;444643;40.33;25-nov-17;07:36:00;40.331;30.6533;11.2119;5.9792;8.15;0.7558;1;NaN;9;NaN;9;0.035;1;0;2;0.2235;1;1.22;1;2048;0.00;0.00
32EV17606_339;HL_03;43.88921;-62.87926;444642;50.6;25-nov-17;07:35:00;50.606;32.4847;8.3068;6.0514;8.068;0.0394;1;NaN;9;NaN;9;0.02;1;3.01;1;0.5855;1;3.08;1;0;5.14;0.98
32EV17606_339;HL_03;43.8888;-62.87948;444641;60.66;25-nov-17;07:33:00;60.667;32.747;7.0105;5.8833;8.041;0.0394;1;NaN;9;NaN;9;0.025;1;4.265;1;0.673;1;4.17;1;0;6.34;1.02
32EV17606_339;HL_03;43.88817;-62.8798;444640;80.44;25-nov-17;07:30:00;80.448;33.2037;6.0452;5.4452;8.005;0.01642;1;NaN;9;NaN;9;0.01;1;8.41;1;0.887;1;6.93;1;0;9.48;1.21
32EV17606_339;HL_03;43.88756;-62.88007;444639;100.39;25-nov-17;07:28:00;100.392;33.8992;7.7086;4.4272;7.991;0.01642;1;NaN;9;NaN;9;0.005;1;12.835;1;1.09;1;10.325;1;0;11.78;1.24
32EV17606_339;HL_03;43.88654;-62.8807;444638;200.24;25-nov-17;07:23:00;200.245;35.0605;10.7948;3.2171;7.984;NaN;9;NaN;9;NaN;9;0.025;1;17.085;1;1.254;1;13.765;1;0;13.62;1.24
32EV17606_339;HL_03;43.8857;-62.8812;444637;258.98;25-nov-17;07:19:00;258.987;35.2008;11.0197;2.6376;7.953;NaN;9;35.237;1;2.8465;1;0.01;1;20.18;1;1.4725;1;17.52;1;0;13.70;1.15
32EV17606_025;HL_03.3;43.76422;-62.74378;444659;2.36;25-nov-17;10:37:00;2.368;30.5586;11.2614;6.0293;8.189;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_025;HL_03.3;43.76424;-62.74382;444658;2.67;25-nov-17;10:37:00;2.677;30.5587;11.2574;6.011;8.188;1.06134;1;30.574;1;6.3;1;0.03;1;0;2;0.212;1;1.105;1;2048;0.00;0.00
32EV17606_025;HL_03.3;43.76428;-62.74408;444657;10.35;25-nov-17;10:35:00;10.354;30.5583;11.252;6.0297;8.187;1.06134;1;NaN;9;NaN;9;0.03;1;0;2;0.216;1;1.095;1;2048;0.00;0.00
32EV17606_025;HL_03.3;43.7643;-62.7444;444656;19.97;25-nov-17;10:34:00;19.974;30.5589;11.2621;6.0256;8.184;1.06134;1;NaN;9;NaN;9;0.035;1;0;2;0.2095;1;1.115;1;2048;0.00;0.00
32EV17606_025;HL_03.3;43.7643;-62.74468;444655;29.32;25-nov-17;10:32:00;29.324;30.5602;11.2681;6.0254;8.183;1.07742;1;NaN;9;NaN;9;0.035;1;0;2;0.2175;1;1.13;1;2048;0.00;0.00
32EV17606_025;HL_03.3;43.76428;-62.745;444654;40.27;25-nov-17;10:30:00;40.271;30.6765;11.4349;5.9595;8.165;0.41641;1;NaN;9;NaN;9;0.06;1;0;2;0.262;1;1.33;1;2048;0.00;0.00
32EV17606_025;HL_03.3;43.76428;-62.74534;444653;50.35;25-nov-17;10:28:00;50.356;32.8157;10.5733;5.8065;8.094;0.06239;1;NaN;9;NaN;9;0.025;1;2.29;1;0.504;1;2.315;1;0;4.54;0.99
32EV17606_025;HL_03.3;43.76428;-62.74572;444652;59.02;25-nov-17;10:26:00;59.021;32.7878;7.5803;6.0504;8.051;0.04925;1;NaN;9;NaN;9;0.02;1;4.065;1;0.638;1;3.475;1;0;6.37;1.17
32EV17606_025;HL_03.3;43.76428;-62.74612;444651;80.1;25-nov-17;10:24:00;80.103;33.1072;5.9383;5.597;8.018;0.02626;1;NaN;9;NaN;9;0.015;1;7.72;1;0.8565;1;6.99;1;0;9.01;1.10
32EV17606_025;HL_03.3;43.7643;-62.74646;444650;100.78;25-nov-17;10:22:00;100.785;33.9601;7.9536;4.4053;7.999;0.00656;1;NaN;9;NaN;9;0.015;1;12.31;1;1.0735;1;10.02;1;0;11.47;1.23
32EV17606_025;HL_03.3;43.76433;-62.74696;444649;197.55;25-nov-17;10:19:00;197.554;34.9881;10.6555;3.3129;7.992;NaN;9;35.004;1;3.4795;1;0.02;1;17.395;1;1.2715;1;13.51;1;0;13.68;1.29
32EV17606_058;HL_04;43.46958;-62.4675;444673;3.01;27-nov-17;09:12:00;3.015;31.1641;11.5961;6.0197;8.215;0.39935;1;31.181;1;6.2;1;0.02;1;0;2;0.207;1;1.03;1;2048;0.00;0.00
32EV17606_058;HL_04;43.46938;-62.46774;444676;3.02;27-nov-17;09:13:00;3.026;31.1657;11.6014;6.0062;8.215;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_058;HL_04;43.4695;-62.46758;444674;3.36;27-nov-17;09:12:00;3.368;31.1649;11.5935;5.9956;8.215;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
32EV17606_058;HL_04;43.46942;-62.46766;444675;3.52;27-nov-17;09:13:00;3.525;31.1655;11.5956;6.0066;8.215;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
