Filename; Pressure; Uniqueno; Variable; Values; Test failed
WT552_101; 4.21; 258522; doxy; 281.80  ; Global Impossible Parameter Value
WT552_101; 9.83; 258521; doxy; 285.40  ; Global Impossible Parameter Value
WT552_101; 20.16; 258520; doxy; 345.20  ; Global Impossible Parameter Value
WT552_101; 30.42; 258519; doxy; 358.60  ; Global Impossible Parameter Value
WT552_101; 40.02; 258518; doxy; 368.40  ; Global Impossible Parameter Value
WT552_101; 49.39; 258517; doxy; 373.40  ; Global Impossible Parameter Value
WT552_101; 74.69; 258516; doxy; 355.50  ; Global Impossible Parameter Value
WT552_101; 100.76; 258515; doxy; 343.00  ; Global Impossible Parameter Value
WT552_101; 150.29; 258514; doxy; 315.30  ; Global Impossible Parameter Value
WT552_101; 168.52; 258513; doxy; 275.10  ; Global Impossible Parameter Value
WT552_101; 4.21; 258522; doxy; 281.80  ; Regional Impossible Parameter Value
WT552_101; 9.83; 258521; doxy; 285.40  ; Regional Impossible Parameter Value
WT552_101; 20.16; 258520; doxy; 345.20  ; Regional Impossible Parameter Value
WT552_101; 30.42; 258519; doxy; 358.60  ; Regional Impossible Parameter Value
WT552_101; 40.02; 258518; doxy; 368.40  ; Regional Impossible Parameter Value
WT552_101; 49.39; 258517; doxy; 373.40  ; Regional Impossible Parameter Value
WT552_101; 74.69; 258516; doxy; 355.50  ; Regional Impossible Parameter Value
WT552_101; 100.76; 258515; doxy; 343.00  ; Regional Impossible Parameter Value
WT552_101; 150.29; 258514; doxy; 315.30  ; Regional Impossible Parameter Value
WT552_101; 168.52; 258513; doxy; 275.10  ; Regional Impossible Parameter Value
WT552_239; 5.20; 258530; doxy; 294.30  ; Global Impossible Parameter Value
WT552_239; 10.83; 258529; doxy; 343.40  ; Global Impossible Parameter Value
WT552_239; 20.15; 258528; doxy; 364.90  ; Global Impossible Parameter Value
WT552_239; 30.27; 258527; doxy; 372.50  ; Global Impossible Parameter Value
WT552_239; 40.38; 258526; doxy; 362.20  ; Global Impossible Parameter Value
WT552_239; 50.38; 258525; doxy; 355.00  ; Global Impossible Parameter Value
WT552_239; 74.78; 258524; doxy; 351.50  ; Global Impossible Parameter Value
WT552_239; 100.83; 258523; doxy; 344.80  ; Global Impossible Parameter Value
WT552_239; 5.20; 258530; doxy; 294.30  ; Regional Impossible Parameter Value
WT552_239; 10.83; 258529; doxy; 343.40  ; Regional Impossible Parameter Value
WT552_239; 20.15; 258528; doxy; 364.90  ; Regional Impossible Parameter Value
WT552_239; 30.27; 258527; doxy; 372.50  ; Regional Impossible Parameter Value
WT552_239; 40.38; 258526; doxy; 362.20  ; Regional Impossible Parameter Value
WT552_239; 50.38; 258525; doxy; 355.00  ; Regional Impossible Parameter Value
WT552_239; 74.78; 258524; doxy; 351.50  ; Regional Impossible Parameter Value
WT552_239; 100.83; 258523; doxy; 344.80  ; Regional Impossible Parameter Value
WT552_376; 182.19; 258531; doxy; 253.20  ; Global Impossible Parameter Value
WT552_376; 182.19; 258531; doxy; 253.20  ; Regional Impossible Parameter Value
WT552_454; 4.47; 258540; doxy; 280.00  ; Global Impossible Parameter Value
WT552_454; 10.24; 258539; doxy; 282.20  ; Global Impossible Parameter Value
WT552_454; 20.31; 258538; doxy; 325.10  ; Global Impossible Parameter Value
WT552_454; 30.81; 258537; doxy; 345.20  ; Global Impossible Parameter Value
WT552_454; 40.35; 258536; doxy; 368.00  ; Global Impossible Parameter Value
WT552_454; 50.23; 258535; doxy; 357.30  ; Global Impossible Parameter Value
WT552_454; 75.57; 258534; doxy; 324.70  ; Global Impossible Parameter Value
WT552_454; 99.61; 258533; doxy; 288.50  ; Global Impossible Parameter Value
WT552_454; 156.19; 258532; doxy; 251.40  ; Global Impossible Parameter Value
WT552_454; 4.47; 258540; doxy; 280.00  ; Regional Impossible Parameter Value
WT552_454; 10.24; 258539; doxy; 282.20  ; Regional Impossible Parameter Value
WT552_454; 20.31; 258538; doxy; 325.10  ; Regional Impossible Parameter Value
WT552_454; 30.81; 258537; doxy; 345.20  ; Regional Impossible Parameter Value
WT552_454; 40.35; 258536; doxy; 368.00  ; Regional Impossible Parameter Value
WT552_454; 50.23; 258535; doxy; 357.30  ; Regional Impossible Parameter Value
WT552_454; 75.57; 258534; doxy; 324.70  ; Regional Impossible Parameter Value
WT552_454; 99.61; 258533; doxy; 288.50  ; Regional Impossible Parameter Value
WT552_454; 156.19; 258532; doxy; 251.40  ; Regional Impossible Parameter Value
WT552_512; 4.29; 258549; doxy; 283.60  ; Global Impossible Parameter Value
WT552_512; 9.79; 258548; doxy; 284.00  ; Global Impossible Parameter Value
WT552_512; 20.29; 258547; doxy; 329.60  ; Global Impossible Parameter Value
WT552_512; 30.35; 258546; doxy; 368.90  ; Global Impossible Parameter Value
WT552_512; 40.77; 258545; doxy; 373.40  ; Global Impossible Parameter Value
WT552_512; 50.54; 258544; doxy; 351.90  ; Global Impossible Parameter Value
WT552_512; 75.16; 258543; doxy; 343.00  ; Global Impossible Parameter Value
