CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l);(ml/l);(celsius);(g/kg)
2;HL_02;44.26583;-63.30117;281501;19-oct-04;16:03:00;147.38;33.716;5.486;3.9;0.00911;15.56;1.302;14.92;33.768;4.477;3.9;5.486;33.716
2;HL_02;44.26583;-63.30117;281502;19-oct-04;16:05:00;101.57;32.974;2.866;5;0.01253;8.32;1.01;10.01;NaN;NaN;5;2.866;32.974
2;HL_02;44.26583;-63.30117;281503;19-oct-04;16:06:00;75.31;32.636;2.396;5.2;0.03872;6.31;0.883;7.31;NaN;NaN;5.2;2.396;32.636
2;HL_02;44.26583;-63.30117;281504;19-oct-04;16:08:00;50.43;32.134;4.859;5.6;0.12614;3.17;0.664;3.24;NaN;NaN;5.6;4.859;32.134
2;HL_02;44.26583;-63.30117;281505;19-oct-04;16:08:00;40.63;31.268;9.008;5.4;0.19971;2.34;0.556;1.51;NaN;6.5655;5.4;9.008;31.268
2;HL_02;44.26583;-63.30117;281506;19-oct-04;16:09:00;30.43;31.135;14.132;4.8;0.62489;1.1;0.22;0;NaN;NaN;4.8;14.132;31.135
2;HL_02;44.26583;-63.30117;281507;19-oct-04;16:10:00;20;30.685;14.023;4.8;0.72186;1.02;0.208;0;NaN;NaN;4.8;14.023;30.685
2;HL_02;44.26583;-63.30117;281508;19-oct-04;16:11:00;10.28;30.665;14.042;4.9;0.63567;1;0.203;0;NaN;NaN;4.9;14.042;30.665
2;HL_02;44.26583;-63.30117;281509;19-oct-04;16:12:00;5.2;30.664;14.059;4.8;0.63567;0.99;0.22;0;NaN;5.729;4.8;14.059;30.664
2;HL_02;44.26583;-63.30117;281510;19-oct-04;16:12:00;1.38;30.663;14.06;4.8;0.61412;0.95;0.229;0;NaN;NaN;4.8;14.06;30.663
