CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
2;HL_02;44.26583;-63.30117;281510;19-oct-04;16:12:00;1.38;30.663;14.06;4.8;0.61412;1;NaN;9;NaN;9;0;1;0.229;1;0.95;1;0;0.00;0.00
2;HL_02;44.26583;-63.30117;281509;19-oct-04;16:12:00;5.2;30.664;14.059;4.8;0.63567;1;NaN;9;5.729;1;0;1;0.22;1;0.99;1;0;0.00;0.00
2;HL_02;44.26583;-63.30117;281508;19-oct-04;16:11:00;10.28;30.665;14.042;4.9;0.63567;1;NaN;9;NaN;9;0;1;0.203;1;1;1;0;0.00;0.00
2;HL_02;44.26583;-63.30117;281507;19-oct-04;16:10:00;20;30.685;14.023;4.8;0.72186;1;NaN;9;NaN;9;0;1;0.208;1;1.02;1;0;0.00;0.00
2;HL_02;44.26583;-63.30117;281506;19-oct-04;16:09:00;30.43;31.135;14.132;4.8;0.62489;1;NaN;9;NaN;9;0;1;0.22;1;1.1;1;0;0.00;0.00
2;HL_02;44.26583;-63.30117;281505;19-oct-04;16:08:00;40.63;31.268;9.008;5.4;0.19971;1;NaN;9;6.5655;7;1.51;1;0.556;1;2.34;1;256;2.72;0.65
2;HL_02;44.26583;-63.30117;281504;19-oct-04;16:08:00;50.43;32.134;4.859;5.6;0.12614;1;NaN;9;NaN;9;3.24;1;0.664;1;3.17;1;0;4.88;1.02
2;HL_02;44.26583;-63.30117;281503;19-oct-04;16:06:00;75.31;32.636;2.396;5.2;0.03872;1;NaN;9;NaN;9;7.31;1;0.883;1;6.31;1;0;8.28;1.16
2;HL_02;44.26583;-63.30117;281502;19-oct-04;16:05:00;101.57;32.974;2.866;5;0.01253;1;NaN;9;NaN;9;10.01;1;1.01;1;8.32;1;0;9.91;1.20
2;HL_02;44.26583;-63.30117;281501;19-oct-04;16:03:00;147.38;33.716;5.486;3.9;0.00911;1;33.768;1;4.477;1;14.92;1;1.302;1;15.56;1;0;11.46;0.96
