CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
2;HL_02;44.26583;-63.30117;281510;19-oct-04;16:12:00;1.38;30.663;14.06;4.8;4.8;3;14.06;1;30.663;1;1024;NaN;NaN
2;HL_02;44.26583;-63.30117;281509;19-oct-04;16:12:00;5.2;30.664;14.059;4.8;4.8;3;14.059;1;30.664;1;1024;NaN;NaN
2;HL_02;44.26583;-63.30117;281508;19-oct-04;16:11:00;10.28;30.665;14.042;4.9;4.9;1;14.042;1;30.665;1;0;NaN;NaN
2;HL_02;44.26583;-63.30117;281507;19-oct-04;16:10:00;20;30.685;14.023;4.8;4.8;1;14.023;1;30.685;1;0;NaN;NaN
2;HL_02;44.26583;-63.30117;281506;19-oct-04;16:09:00;30.43;31.135;14.132;4.8;4.8;1;14.132;1;31.135;1;0;NaN;NaN
2;HL_02;44.26583;-63.30117;281505;19-oct-04;16:08:00;40.63;31.268;9.008;5.4;5.4;1;9.008;1;31.268;1;0;NaN;NaN
2;HL_02;44.26583;-63.30117;281504;19-oct-04;16:08:00;50.43;32.134;4.859;5.6;5.6;1;4.859;1;32.134;1;0;NaN;NaN
2;HL_02;44.26583;-63.30117;281503;19-oct-04;16:06:00;75.31;32.636;2.396;5.2;5.2;1;2.396;1;32.636;1;0;NaN;NaN
2;HL_02;44.26583;-63.30117;281502;19-oct-04;16:05:00;101.57;32.974;2.866;5;5;1;2.866;1;32.974;1;0;NaN;NaN
2;HL_02;44.26583;-63.30117;281501;19-oct-04;16:03:00;147.38;33.716;5.486;3.9;3.9;1;5.486;1;33.716;1;0;NaN;NaN
6;RL_01;43.24917;-65.05017;281520;20-oct-04;03:50:00;2.81;30.257;14.123;5.4;5.4;1;14.123;1;30.257;1;0;NaN;NaN
6;RL_01;43.24917;-65.05017;281519;20-oct-04;03:47:00;10.18;30.264;14.117;5.4;5.4;1;14.117;1;30.264;1;0;NaN;NaN
6;RL_01;43.24917;-65.05017;281518;20-oct-04;03:45:00;19.65;30.41;14.364;5.3;5.3;1;14.364;1;30.41;1;0;NaN;NaN
6;RL_01;43.24917;-65.05017;281517;20-oct-04;03:44:00;29.43;31.069;12.903;5.4;5.4;1;12.903;1;31.069;1;0;NaN;NaN
